accomplish,"vt.完成,达到,实现"
distaste,"n.讨厌,嫌恶"
approve,"vi.赞成,满意vt.批准,通过v.批准"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
admission,"n.允许进入,承认某事之陈述,供认"
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
apparent,"adj.显然的,外观上的"
transparent,"adj.透明的,显然的,明晰的"
doze,"vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡"
snore,"v.打鼾,打着鼾渡过(时间)n.打鼾,鼾声"
cosy,"adj.舒适的,安逸的"
cozy,"adj.舒适的,安逸的,惬意的"
sole,"adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底"
erase,"vt.抹去,擦掉,消磁,<俚>杀死"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
abrupt,"adj.突然的,陡峭的,生硬的"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
sophisticated,"adj.诡辩的,久经世故的"
strategy,"n.策略,军略"
tactic,"n.策略,战略adj.按顺序的,排列的"
diplomatic,"adj.外交的,老练的"
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
option,"n.选项,选择权,[经]买卖的特权"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
affect,"vt.影响,感动,侵袭,假装"
reconcile,"vt.使和解,使和谐,使顺从"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
relationship,"n.关系,关联"
relate,"vt.叙述,讲,使联系,发生关系"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
passive,adj.被动的
persuasion,"n.说服,说服力"
caution,"n.小心,谨慎,警告vt.警告"
precaution,"n.预防,警惕,防范"
optimistic,adj.乐观的
pessimistic,"adj.悲观的,厌世的"
passion,"n.激情,热情,耶稣的受难和死亡"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
virtually,"adv.事实上,实质上"
literal,"adj.文字的,照字面上的,无夸张的"
literacy,"n.有文化,有教养,有读写能力"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
appropriate,adj.适当的
inherent,"adj.固有的,内在的,与生俱来的"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
identical,"adj.同一的,同样的"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identity,"n.同一性,身份,一致,特性,恒等式"
collide,"vi.碰撞,抵触"
collaborate,"vi.合作,通敌"
publish,"v.出版,刊印vt.公布,发表"
pamphlet,n.小册子
collection,"n.收藏,征收,搜集品,捐款"
collective,adj.集体的n.集体
connection,"n.连接,关系,接线,线路,亲戚"
connexion,"n.联系,连结"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
coincide,"vi.一致,符合"
incidence,"n.落下的方式,影响范围,[物理]入射"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
junction,"n.连接,接合,交叉点,汇合处"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
outbreak,"n.(战争的)爆发,(疾病的)发作"
scatter,"v.分散,散开,撒开,驱散"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
sorrow,"n.悲哀,悲痛"
beneath,adv.在...之下 prep.在...之下
retain,"vt.保持,保留"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
conception,"n.观念,概念"
concept,"n.观念,概念"
ponder,"v.沉思,考虑"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
speculate,"vi.推测,思索,做投机买卖"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
foresee,"vt.预见,预知"
fulfil,"vt.实践,履行,实行,结束,满足,完成,达到"
fulfill,"vt.履行,实现,完成(计划等)"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
obtain,"vt.获得,得到"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
authority,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
authorize,v.批准
authorise,vt.<英>=authorize
enforce,"vt.强迫,执行,坚持,加强"
somewhat,"adv.稍微,有点,有些"
legal,"adj.法律的,法定的,合法"
legislation,"n.立法,法律的制定(或通过)"
legitimate,"adj.合法的,合理的,正统的v.合法"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
deceive,"v.欺骗,行骗"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
corrode,"v.使腐蚀,侵蚀"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
stain,"n.污点,瑕疵v.染污,沾污"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
trash,"n.无价值之物,无聊的作品,垃圾,废物"
junk,"n.垃圾,舢板"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
peel,"v.剥,削,剥落"
hint,"n.暗示,提示,线索"
clue,n.线索
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
endow,"v.捐赠,赋予"
talent,"n.天才,才干,才能"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
supervise,"v.监督,管理,指导"
deadline,n.最终期限
expire,"v.期满,终止,呼气,断气,届满"
convention,"n.大会,协定,习俗,惯例"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
individual,"n.个人,个体adj.个别的,单独的,个人的"
symbol,"n.符号,记号,象征"
strengthen,"v.加强,巩固"
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
bravery,n.勇敢
applaud,"v.拍手喝彩,称赞,赞同"
clap,"n.拍手声,霹雳声v.鼓掌,轻拍"
perfection,"n.尽善尽美,完美,完成"
encouragement,"n.鼓励,奖励"
enhance,"vt.提高,增强v.提高"
elevate,"vt.举起,提拔,振奋,提升...的职位"
hoist,"n.提升间,升起"
deserve,"vt.应受,值得v.应受"
accelerate,"v.加速,促进"
precede,"v.领先(于),在...之前,先于"
predecessor,"n.前辈,前任,(被取代的)原有事物"
precedent,n.先例
prevail,"vi.流行,盛行,获胜,成功"
ascend,"v.攀登,上升"
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
switch,"n.开关,电闸,转换vt.转换,转变"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
absorb,"vt.吸收,吸引"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
bore,"n.令人讨厌的人,怒潮,枪膛,孔v.使烦扰,钻孔 钻孔"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
acute,"adj.敏锐的,[医]急性的,剧烈"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
adhere,"vi.粘附,胶着,坚持v.坚持"
attribute,"n.属性,品质,特征,加于,归结于"
contribute,"v.捐助,捐献,贡献,投稿"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
tradition,"n.传统,惯例"
advertise,"v.做广告,登广告"
agency,"n.代理处,行销处,代理,中介"
agent,n.代理(商)
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
assume,"vt.假定,设想,采取,呈现"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
undoubted,"adj.无疑的,确实的"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
cancel,"vt.取消,删去"
postpone,"vt.推迟,使延期,延迟"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
complain,"v.抱怨,悲叹,控诉"
wage,n.[常pl.] 工资v.发动
respective,"adj.分别的,各自的"
gloomy,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
awkward,"adj.难使用的,笨拙的"
behave,"vi.举动,举止,运转v.行为表现"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
guilty,"adj.犯罪的,有罪的,心虚的"
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
imply,"vt.暗示,意味"
grief,"n.悲痛,伤心事,不幸,忧伤"
affection,"n.友爱,爱情,影响,疾病,倾向"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
mislead,vt.误导
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
alcohol,"n.酒精,酒"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
ward,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔vt.守护,保卫,防止,挡住,躲开,避免"
industrialize,vt.使工业化vi.工业化
industrialise,v.<主英>=industrialize
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
amend,"v.修正,改进,改正"
treaty,"n.条约,谈判"
inherit,"vt.继承,遗传而得"
heir,"n.继承人,后嗣"
heritage,"n.遗产,继承权,传统"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
bilateral,"adj.有两面的,双边的"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
survive,"v.幸免于,幸存,生还"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
maintain,"vt.维持,维修,继续,供养,主张"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
endure,"v.耐久,忍耐"
harmony,"n.协调,融洽"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
tend,"vi.趋向,往往是vt.照管,护理"
tendency,"n.趋向,倾向"
visible,"adj.看得见的,明显的,显著的n.可见物"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
arise,"vi.出现,发生,起因于"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
perpetual,adj.永久的
permanent,"adj.永久的,持久的"
sustain,"vt.支撑,撑住,维持,持续"
resource,"n.[pl.] 资源,财力,办法,智谋"
loan,"n.(借出的)贷款,借出v.借,借给"
currency,n.流通
cash,n.现金vt.兑现
deficit,"n.赤字,不足额"
proceed,"vi.进行,继续下去,发生"
procedure,"n.程序,手续"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
manufacture,"vt.制造,加工n.制造,制造业,产品"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
commodity,n.日用品
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
definite,"adj.明确的,一定的"
instrumental,"adj.仪器的,器械的,乐器的"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
tender,"adj.嫩的,温柔的,软弱的"
precise,"adj.精确的,准确的n.精确"
concise,"adj.简明的,简练的"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
depression,"n.沮丧,消沉,低气压,低压"
relax,"vi.放松,休息,休养,变从容vt.使松驰,缓和,使松懈,使休息"
superficial,"adj.表面的,肤浅的,浅薄的"
shallow,"adj.浅的,浅薄的"
eliminate,"vt.排除,消除v.除去"
deprive,"vt.剥夺,使丧失"
regardless,"adj.不管,不顾,不注意"
despite," prep.不管,尽管,不论"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
disposal,"n.处理,处置,布置,安排,配置,支配"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
destruction,"n.破坏,毁灭"
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
religion,"n.宗教,信仰"
pray,"v.祈祷,恳求,请"
preach,v.鼓吹
background,"n.背景,后台,不重要或不引人注目的地方或位置"
diverse,"adj.不同的,变化多的"
evolve,"v.(使)发展,(使)进展,(使)进化"
revolutionary,adj.革命的
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
enrol,"vt.登记,入学vi.参军,注册"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
brilliant,"adj.灿烂的,闪耀的,有才气的"
primitive,"adj.原始的,远古的,粗糙的,简单的"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
energetic,"adj.精力充沛的,积极的"
dynamic,"adj.动力的,动力学的,动态的"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
explore,"v.探险,探测,探究"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
carve,"v.雕刻,切开"
frequency,"n.频率,周率,发生次数"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
inflict,v.造成
blend,vt.混和n.混和
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
bleed,"v.使出血,放血"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
ambulance,"n.战时流动医院,救护车"
volume,"n.卷,册,体积,量,大量,音量"
cheerful,"adj.愉快的,高兴的"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
bronze,"n.青铜(铜与锡合金),铜像adj.青铜色的"
ceremony,"n.典礼,仪式,礼节,报幕员"
honorable,"adj.可敬的,荣誉的,光荣的"
honourable,"adj.可敬的,荣誉的,光荣的"
semester,n.学期
dramatic,"adj.戏剧性的,生动的"
update,"v.使现代化,修正,校正,更新n.现代化,更新"
equality,"n.等同性,同等,平等,相等,等式"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
penalty,"n.处罚,罚款"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
victim,"n.受害人,牺牲者,牺牲品"
assassinate,"vt.暗杀,行刺"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
genuine,"adj.真实的,真正的,诚恳的"
artificial,"adj.人造的,假的,非原产地的"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
anxiety,"n.忧虑,焦急,渴望,热望"
risk,"vt.冒...的危险n.冒险,风险"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
existence,"n.存在,实在,生活,存在物,实在物"
certainty,"n.确定,确实的事情"
cherish,"vt.珍爱,怀抱(希望等)"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
loyal,"adj.忠诚的,忠心的"
dignity,"n.尊严,高贵"
indignity,"n.轻蔑,侮辱,侮辱的行为"
indignant,"adj.愤怒的,愤慨的"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
competent,"adj.有能力的,胜任的"
surpass,"vt.超越,胜过"
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
integrity,"n.正直,诚实,完整,完全,完整性"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
characterize,"vt.表现...的特色,刻画的...性格"
characterise,vt.<英>=characterize
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
hospitality,"n.好客,宜人,盛情"
humor,"n.幽默,心情,诙谐vt.迎合,牵就,顺应"
humour,"n.幽默,诙谐"
indifferent,adj.无关紧要的
accustom,vt.使习惯于
habitual,"adj.习惯的,惯常的"
hinder,"adj.后面的v.阻碍,打扰"
career,"n.(原意:道路,轨道)事业,生涯,速度"
hostile,"adj.敌对的,敌方的n.敌对"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
deficiency,"n.缺乏,不足"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
revenue,"n.收入,国家的收入,税收"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
anyhow,"adv.无论如何,总之"
unexpected,"adj.想不到的,意外的,未预料到"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
largely,"adv.主要地,大量地,很大程度上"
ignorance,"n.无知,不知"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
provided, conj.倘若
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
media,n.媒体
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
document,"n.公文,文件,文档,档案,文献v.证明"
curb,n.路边
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
immigrate,vt.使移居入境vi.移来
emigrate,vi.永久(使)移居vt.(使)移民
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
decade,"n.十年,十"
nevertheless," conj.然而,不过adv.仍然,不过"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
obstacle,"n.障碍,妨害物"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
opponent,"adj.对立的,对抗的n.对手,反对者"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
prejudice,"n.偏见,成见,损害,侵害v.损害"
preference,"n.偏爱,优先选择"
instinct,n.本能
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
triumph,"n.胜利,成功v.获得胜利"
estate,"n.状态,不动产,时期,阶层,财产"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
patrol,"v.出巡,巡逻n.巡逻"
cruise,"vi.巡游,巡航n.巡游,巡航"
craft,"n.工艺,手艺"
clumsy,adj.笨拙的
architecture,"n.建筑,建筑学 体系机构"
cite,"vt.引用,引证,提名表扬"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
bracket,"n.墙上凸出的托架,括弧,支架v.括在一起"
faulty,"adj.有过失的,有缺点的,不完美的,不完善的"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
plug,"vt.堵,塞,插上,插栓n.塞子,插头,插销"
siren,"n.汽笛,警报器,空袭警报,妖妇v.(救火车等)响着警报器行驶"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
presumably,"adv.推测起来,大概"
status,"n.身份,地位,情形,状况"
possess,"vt.占有,拥有,持有,摆布,支配"
sociable,"adj.好交际的,友善的,增进友谊的,喜欢群居的"
environment,"n.环境,外界"
atmosphere,"n.大气,空气,气氛"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
metropolitan,"adj.首都的,主要都市的,大城市"
typical,"adj.典型的,象征性的"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
academic,"adj.学院的,理论的"
expertise,"n.专家的意见,专门技术"
scholarship,"n.奖学金,学问,学识"
intellect,n.智力
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
stimulate,"vt.刺激,激励v.刺激,激励"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
insistent,adj.坚持不懈的
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
endeavor,"n.努力,尽力vi.尽力,努力"
endeavour,"n.<英>尽力,竭力"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
temporary,"adj.暂时的,临时的,临时性"
moral,"adj.道德(上)的,精神的n.道德"
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
cradle,"n.摇篮,发源地,支船架vt.将...放在摇篮内"
stable,adj.稳定的
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压vt.拉紧,使紧张"
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
shortage,"n.不足,缺乏"
shrink,"v.收缩,(使)皱缩,缩短"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
similar,"adj.相似的,类似的"
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
casual,"adj.偶然的,不经意的,临时的"
select,"vt.选择,挑选adj.精选的"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
uneasy,"adj.心神不安的,不自在的,不稳定的,不舒服的adv.心神不安地,不自在地,不稳定地"
tolerate,"vt.忍受,容忍"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
agenda,n.pl.议程
routine,"n.例行公事,常规,日常事务,程序"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
reservation,"n.保留,(旅馆房间等)预定,预约"
persist,"vi.坚持,持续"
persistent,adj.持久稳固的
chronic,"adj.慢性的,延续很长的"
symptom,"n.[医][植]症状,征兆"
respond,"v.回答,响应,作出反应vi.有反应"
response,"n.回答,响应,反应"
scrutiny,n.详细审查
probe,"n.探针,探测器vt.(以探针等)探查,查明"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
supreme,"adj.极度的,极大的,至高的,最高的"
undertake,"vt.承担,担任,许诺,保证v.采取"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
entrepreneur,"n.<法>企业家,主办人"
schedule,"n.时间表,进度表v.确定时间"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
candidate,"n.候选人,投考者"
