progress,"n.前进,进步,发展vi.前进,进步,进行"
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
standpoint,"n.立场,观点"
substance,"n.物质,实质,主旨,物质,物"
substantial,"adj.坚固的,实质的,真实的,充实的"
essence,"n.基本,[哲]本质,香精"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
perform,"vt.履行,执行,表演,演出v.完成任务"
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
late,"adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期"
platform,"n.(车站)月台,讲台,讲坛 平台"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
deform,v.(使)变形
formula,"n.公式,规则,客套语"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
unite,"v.联合,团结"
union,"n.联合,合并,结合,联盟,协会"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
communism,n.共产主义
unique,"adj.唯一的,独特的"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
valuable,"adj.贵重的,有价值的,颇有价值的"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
valley,"n.(山)谷,流域"
evaluate,"vt.评价,估计,求...的值v.评价"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
valve,"n.阀,[英] 电子管,真空管"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
derive,vt.得自vi.起源
deprive,"vt.剥夺,使丧失"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
prevail,"vi.流行,盛行,获胜,成功"
prevalent,"adj.普遍的,流行的"
pervasive,adj.普遍深入的
invade,"vt.侵略,侵袭,拥挤"
evade,"v.规避,逃避,躲避"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
vein,"n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪vt.使成脉络,象脉络般分布于"
pedal,n.踏板v.踩...的踏板
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
bypass,"n.旁路vt.设旁路,迂回"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
expedition,"n.远征,探险队,迅速,派遣"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
occur,"vi.发生,出现"
recur,"vi.复发,重现,再来"
curl,v.(使)卷曲
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
curriculum,n.课程
curtain,"n.窗帘,门帘v.装上门帘"
carpet,n.地毯
blanket,n.毯子vt.覆盖
rug,"n.(小)地毯,垫子"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
accurate,"adj.正确的,精确的"
precise,"adj.精确的,准确的n.精确"
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰"
decide,"v.决定,判决"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
incident,"n.事件,事变adj.附带的,易于发生的"
incidence,"n.落下的方式,影响范围,[物理]入射"
coincide,"vi.一致,符合"
coin,n.硬币vt.铸造(硬币)
core,"n.果核,中心,核心"
cord,"n.绳索,束缚"
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分"
dozen,"n.一打,十二个"
decade,"n.十年,十"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
accordingly,"adv.因此,从而"
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
hearty,"adj.衷心的,亲切的,精神饱满的,丰盛的,强烈的"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
concerning, prep.关于
discern,"v.目睹,认识,洞悉,辨别,看清楚"
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sensor,n.传感器
nonsense,"n.胡说,废话"
sensitive,"adj.敏感的,灵敏的,感光的"
sensible,"adj.有感觉的,明智的,有判断力的"
sensation,"n.感觉,感情,感动,耸人听闻的"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
presently,"adv.目前,不久"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
resent,"v.愤恨,怨恨"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
sentimental,"adj.感伤性的,感情脆弱的"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
mental,"adj.精神的,智力的"
experimental,"adj.实验的,根据实验的"
sentence,"n.句子,判决,宣判,文句vt.宜判,判决"
buddha,n.佛
bugle,"n.喇叭,军号"
butt,"n.粗大的一端,靶垛,笑柄v.以头抵撞,碰撞"
buzz,"n.嗡嗡声v.作嗡嗡声,嗡嗡作响,逼近"
byproduct,n.副产品
cable,"n.电缆,海底电报,缆,索v.打(海底)电报"
cancel,"vt.取消,删去"
cane,"n.细长的茎,藤条vt.以杖击,以藤编制"
pal,"n.<口>好朋友,伙伴,同志;vi.结为朋友;Phase Alternating Line,PAL制式(逐行倒相制式)"
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
puff,"n.一阵喷烟,肿块,蓬松,吹嘘,宣传广告v.喷出,张开,夸张,(使)膨胀,(使)骄傲,喘息,鼓吹,吹捧"
senate,"n.参议院,上院"
parliament,"n.国会,议会"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
aggress,"v.攻击,侵犯"
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
hike,"v.远足,飞起,步行n.远足,增加"
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
circuit,"n.电路,一圈,周游,巡回"
circus,"n.马戏团,杂技团,马戏场,杂技场"
circular,"adj.圆形的,循环的n.函件 通知"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
roundabout,"adj.迂回的,转弯抹角的n.道路交叉处的环形路,迂回路线,兜圈子的话"
circumference,"n.圆周,周围"
radius,"n.半径,范围,辐射光线,有效航程,范围,界限"
diameter,n.直径
transition,"n.转变,转换,跃迁,过渡,变调"
initiate,"vt.开始,发动,传授v.开始,发起"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initiative,n.主动
origin,"n.起源,由来,起因,出身,血统,[数]原点"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
innovate,
event,"n.事件,事变,结果,活动,精力,竞赛"
eventually,"adv.最后,终于"
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
tissue,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
gossip,"n.闲话,闲谈"
business,"n.商业,买卖,交易,生意,事情,事物,营业,商行"
convention,"n.大会,协定,习俗,惯例"
tradition,"n.传统,惯例"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
ventilate,"vt.使通风,给...装通风设备"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
ascertain,"vt.确定,探知"
concert,"n.音乐会,一致"
attain,"vt.达到,获得v.达到"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
mountain,"n.山,山脉"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
fountain,"n.泉水,喷泉,源泉"
main,"n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组"
maintain,"vt.维持,维修,继续,供养,主张"
maintenance,"n.维护,保持,生活费用,扶养"
retain,"vt.保持,保留"
detain,"v.拘留,留住,阻止"
sustain,"vt.支撑,撑住,维持,持续"
sustainable,"adj.可以忍受的,足可支撑的,养得起的,"
stain,"n.污点,瑕疵v.染污,沾污"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
obtain,"vt.获得,得到"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
acquire,"vt.获得,学到"
acquaint,"vt.使熟知,通知"
acquaintance,"n.相识,熟人"
inquire,"v.询问,问明,查究"
require,"vt.需要,要求,命令"
request,"vt.请求,要求n.请求,要求,邀请"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
accent,"n.重音,口音,重音符"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
accomplish,"vt.完成,达到,实现"
accuse,"vt.控告,谴责,非难"
excuse,"vt.原谅,申辩,做为...的托辞,为...免去n.饶恕,致歉,理由,口实,借口,清借条,免去"
achieve,"vt.完成,达到"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
corrode,"v.使腐蚀,侵蚀"
acre,"n.英亩,(pl.)地产,大片田地"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
acute,"adj.敏锐的,[医]急性的,剧烈"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
assume,"vt.假定,设想,采取,呈现"
presume,"vt.假定,假设,认为"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
reception,"n.接待,招待会,接收"
receipt,"n.收条,收据,收到v.收到"
deceive,"v.欺骗,行骗"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
perceive,"vt.察觉v.感知,感到,认识到"
concept,"n.观念,概念"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
preposition,n.前置词
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
compose,"v.组成,写作,排字,(使)安定,调解"
decor,"n.舞台装饰,装饰之格调"
decompose,"v.分解,(使)腐烂"
composite,"adj.合成的,复合的n.合成物"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
opponent,"adj.对立的,对抗的n.对手,反对者"
expose,"vt.使暴露,受到,使曝光v.揭露"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
purpose,"n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
post,
postage,n.邮资
postpone,"vt.推迟,使延期,延迟"
preferable,"adj.更可取的,更好的,更优越的"
differ,"vi.不一致,不同"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
referee,"n.仲裁人,调解人,[体]裁判员v.仲裁,裁判"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
infer,v.推断
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
fertile,"adj.肥沃的,富饶的,能繁殖的"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
description,"n.描写,记述,形容,种类,描述"
prescribe,"v.指示,规定,处(方),开(药)"
ascribe,"vt.归因于,归咎于"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
manuscript,"n.手稿,原稿"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
tractor,n.拖拉机
distract,v.转移
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
subtract,"v.(～ from)减去,减"
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
debate,"v.争论,辩论n.争论,辩论"
battery,"n.电池,殴打"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
dispatch,"vt.分派,派遣n.派遣,急件"
bath,"n.沐浴,浴室"
pat,"n.轻拍,(黄油)小块v.轻拍adv.适时,正好,恰好adj.恰好的,合适的,人为的"
pad,"n.垫,衬垫,便笺簿v.加上衬垫"
patience,"n.耐性,忍耐 Patience 佩兴斯(女子名)"
compatible,"adj.谐调的,一致的,兼容的"
path,"n.小路,小径,路线,轨道,通道"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
footpath,"n.人行道,小路"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
patrol,"v.出巡,巡逻n.巡逻"
patriot,n.爱国者
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
melancholy,n.忧郁adj.忧郁
impress,"vt.印,盖印,留下印象"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
convey,"vt.搬运,传达,转让"
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
oppress,"vt.压迫,压抑"
suppress,"vt.镇压,抑制,查禁,使止住"
compel,"vt.强迫,迫使"
compelling,"adj.强制的,强迫的,引人注目的"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
compulsive,"adj.强制的,强迫的,由强迫产生的,禁不住的"
expel,"v.驱逐,开除,排出,发射"
propel,"vt.推进,驱使"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
usage,"n.使用,用法"
repel,"vt.击退,抵制,使厌恶,使不愉快"
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字"
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
brook,n.小溪vt.容忍
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
stream,"n.溪,川,流,一股,一串,河流v.流,涌,流注"
streamline,adj.流线型的
steam,"n.蒸汽,水汽vi.蒸发vt.蒸"
broom,"n.扫帚,[植]金雀花vt.扫除"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
bush,"n.矮树丛,(机械)衬套"
brush,"n.刷子,毛刷,画笔vt.刷,掸,拂"
mushroom,"n.蘑菇,<古>暴发户vi.迅速生长,迅速增加,采蘑菇adj.蘑菇形的,迅速生长的"
balcony,"n.阳台,包厢,(戏院)楼厅"
bacon,"n.咸肉,熏肉"
barber,"n.理发员,理发师vt.为...理发,刮脸等"
banquet,n.宴会
luncheon,"n.午宴,正式的午餐"
feast,"n.节日,盛宴,筵席,宴会,酒席vt.盛宴,款待,享乐,请客vi.参加宴会,享受"
feasible,"adj.可行的,切实可行的"
ball,"n.球,球状物,子弹,舞会,尽情地玩"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
basement,"n.地下室,墙脚"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
veto,"n.否决,禁止,否决权vt.否决,禁止"
poll,"n.选举之投票,民意测验v.投票,获得选票,选举中获得"
contact,"n.接触,联系vt.接触,联系"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
flesh,"n.肉,(供食用的)兽肉,肉体,肉欲,果肉,蔬菜的嫩部,亲属,人体vt.以肉喂(猎犬等),使肥,赋以血肉vi.长胖"
ash,"n.灰,灰烬,[植]岑树"
dust,"n.灰尘,尘土,尘埃vt.掸掉...上的灰尘,撒糖于糕上"
flash,"n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
bull,"n.[动]公牛,粗壮如牛的人"
bee,
beast,"n.兽,畜牲,人面兽心的人"
monster,"n.怪物,妖怪"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
bearing,"n.轴承,关系,方面,意义,[pl.] 方向,方位"
alcohol,"n.酒精,酒"
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火"
hammer,"n.铁锤,槌,锤子v.锤击,锤打"
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
sham,v.佯装n.伪品adj.虚假的
chamber,"n.室,房间,议院,会所,(枪)膛"
shame,"n.羞耻,羞愧,可耻的人(或事物)"
hen,"n.母鸡,雌鸟"
cock,"n.公鸡,雄鸟,头目,(水)龙头,<俚>阴茎vt.使耸立,使竖起,堆成锥形vi.大摇大摆地走,翘起"
rooster,"n.雄禽,<主美>公鸡"
peacock,n.孔雀v.炫耀
haughty,adj.傲慢的
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
hence,"adv.因此,从此"
henceforth,"adv.自此以后,今后"
forthcoming,adj.即将来临的n.来临
wage,n.[常pl.] 工资v.发动
salary,n.薪水vt.给...加薪
pension,"n.养老金,退休金"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
wagon,"n.四轮马车,货车v.用运货马车运输货物"
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶vi.震惊,冲突,发刺耳声,不一致vt.震动,刺激"
pot,"n.罐,壶v.罐装"
mug,
jug,"n.水壶,监牢,[象声]模仿夜莺的叫声vt.放入壶中,炖,关押vi.模仿夜莺叫"
howl,"v.嚎叫,怒吼,嚎啕大哭,喝住,号叫n.嚎叫,怒号,嚎哭"
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹v.闲谈,教训,唠叨"
antenna,n antenae <动>触角 (antenna)n.天线
butcher,"n.屠夫,屠户vt.屠宰,屠杀"
massacre,"n.残杀,大屠杀v.残杀,集体屠杀"
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
camel,"n.骆驼,[船](打捞用的)浮筒"
claw,"n.爪,脚爪v.抓"
paw,
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
coward,"n.懦弱的人,胆小的人"
crab,"n.螃蟹,类似螃蟹的动物,脾气乖戾的人,吹毛求疵vi.捕蟹,偏航,发牢骚vt.使偏航,发脾气,破坏"
crane,n.起重机
deer,
dove,n.鸽子 vbl.dive 的过去式
pigeon,n.鸽子
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
mammal,n.哺乳动物
mosquito,n.蚊子
poultry,n.家禽
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
reptile,"n.爬虫动物,卑鄙的人adj.爬行的,爬虫类的,卑鄙的"
swan,"n.天鹅,杰出的诗人、歌手,天鹅座"
swallow,"n.[鸟]燕子,吞咽,喉vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽vi.吞下,咽下"
swift,"n.[鸟]雨燕,(梳棉机等的)大滚筒adj.迅速的,快的,敏捷的,立刻的adv.迅速地,敏捷地"
cuckoo,"n.[动]杜鹃鸟,布谷鸟"
squirrel,n.松鼠v.贮藏
donkey,"n.驴子,笨蛋,顽固者,(=donkey engine)轻便发动机,(=donkey pump)辅助泵"
gorilla,"n.大猩猩,壮而残暴的男人,<俚>歹徒(尤指使用暴力者)"
tuna,n.金枪鱼n.[动] 鲔鱼
salmon,"n.[鱼]鲑鱼,大麻哈鱼,鲜肉色"
sardine,n.[鱼]沙丁鱼
oyster,"n.[动]牡蛎,蚝,沉默者"
biscuit,"n.饼干,小点心"
cabbage,"n.[植]甘蓝,卷心菜"
cherry,"n.樱桃,樱桃树,如樱桃的鲜红色,<俚,鄙>处女膜,处女"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
heroine,"n.女英雄,女主人公"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
famine,"n.饥荒,<古>饥饿,严重的缺乏"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
stew,"v.炖,焖,受闷热n.炖肉(或菜),闷热,拥挤,鱼塘,人工养蚝场"
doctor,"n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医"
doctrine,"n.教条,学说"
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
cereal,"n.谷类食品,谷类"
cupboard,"n.食橱,碗碟橱"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
overseas,"adv.海外adj.外国的,海外的"
broaden,"v.放宽,变宽,扩大,加宽"
broadcast,"n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放"
bosom,"n.胸部,胸,胸怀,内心,内部,中间,任何温暖、舒适而熟悉的地方vt.怀抱,隐匿"
breast,"n.胸部,乳房,胸怀,心情vt.以胸对着,对付"
pepper,n.胡椒粉
garlic,"n.[植]大蒜,(Akkuyn sadtium),蒜头"
sausage,"n.香肠,腊肠"
sauce,"n.沙司,酱油,调味料vt.调味,使增加趣味"
saucer,"n.茶托,碟子,茶碟"
tray,"n.盘,碟,盘子"
liquor,"n.液体,汁,酒精饮料,[药]溶液vt.浸水vi.喝酒"
recipe,n.处方
straw,"n.稻草,麦杆"
strawberry,n.[植]草莓
toast,"n.烤面包(片),吐司面包,干杯vt.敬酒,烤(面包等),使暖和vi.烤暖,烤火,烘"
tobacco,"n.烟草,烟草制品,抽烟"
vinegar,n.醋
weed,"n.野草,杂草v.除草,铲除"
wheat,"n.小麦,小麦色,淡黄色,朴实的人"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
pest,n.有害物
plantation,"n.耕地,种植园,大农场,森林,人造林,殖民"
pine,"n.松树,树木v.消瘦,憔悴,渴望,渴慕"
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
flour,n.面粉
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
meadow,"n.草地,牧场"
herb,"n.药草,香草"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
swarm,"n.蜂群,一大群v.涌往,挤满,密集,成群浮游,云集"
troop,"n.群,组,多数,军队vi.群集,结队,成群而行vt.把(骑兵)编成骑兵连"
gang,"n.(一)伙,(一)群"
hay,
moss,"n.苔,藓"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
stalk,"n.茎,柄,梗,秆"
trunk,"n.干线,树干,躯干,箱子,主干,象鼻vt.把...放入旅行箱内adj.树干的,躯干的,干线的,箱形的"
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时)v.打结"
limb,"n.肢,翼,分支"
limp,"adj.柔软的,易曲的vi.跛行"
lamb,"n.小羊,羔羊v.生小羊"
lamp,n.灯vt.照亮
