abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
mighty,"n. 有势力的人
a. 有势力的, 强大的, 有力的
adv. 很, 极"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
[计] 安装"
notify,"vt. 通知, 通告, 报告
[计] 通知"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
paradise,"n. 天堂, 乐园, 伊甸园"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
[计] 写后读"
remind,"vt. 提醒, 使想起"
retreat,"n. 重新处理
[网络] 重新治疗；重新提出了"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
[法] 神圣的, 不可侵犯的"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
[计] 筛选; 屏幕"
shelf,"n. 架子, 搁板
[化] 架子"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
stability,"n. 安定, 稳定性, 坚实, 巩固
[化] 稳定性"
strawberry,n. 草莓
surgeon,"n. 外科医生, 军医, 船医
[医] 外科医师"
task,[网络] 任务；优地完成一批给定的任务
tide,[网络] -浪潮
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
vast,"adj. 辽阔的；巨大的；庞大的；大量的
n. 〈诗〉广大无边的空间；大海
[网络] 广阔的；广大的"
waterproof,[电] 防水
worsen,[网络] 恶化
accomplish,"vt. 完成, 达到, 实现, 使完美"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
[计] 锚"
awaken,"vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
bush,"n. 矮树丛
[化] 管衬"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
compete,"vi. 竞争, 对抗"
consequence,"n. 结果, 重要性
[法] 结果, 后果, 推断"
courage,"n. 勇气, 胆量"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
enforce,"vt. 强迫, 执行, 坚持
[经] 予以强制执行"
extend,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
flavor,"n. 滋味, 调味品
vt. 加味于"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
glorious,a. 光荣的
haste,"n. 匆忙, 急忙"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
injure,"[法] 在法律上, 依照法律"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
lame,[网络] 心灵
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
manly,"a. 象男人的, 强壮的, 适于男人的"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
[医] 轻的, 缓和的"
mourn,"v. 哀悼, 忧伤, 服丧"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
[经] 概念, 打算, 想法"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
[计] 段落"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
[经] 罚金(款), 违约金"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
pretend,"v. 假装, 伪称, 自命, 自称"
protect,"vt. 防卫, 保护, 警戒
[法] 庇护, 保护, 警戒"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
[计] 删除"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
shell,"abbr. (=she will [shall])
[网络] 她将"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
[机] 细的, 纤细的"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
tasty,"a. 好吃的, 可口的"
tight,comb.form 表示“不透的”，“不漏的”，“密封的”，“防…的”
tribe,"n. 宗族, 部落, 一群人
[医] 族(生物分类)"
weapon,"n. 武器, 兵器
vt. 武装"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
cheek,"n. 颊, 厚颜, 脸蛋
[医] 颊"
competent,"a. 能干的, 胜任的, 有效的, 足够的
[经] 有权的, 授权的, 胜任的"
consist,"vi. 组成, 存在于, 一致"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
debt,"n. 债务, 罪过
[经] 借款, 欠款, 债务"
describe,"vt. 描述, 描绘, 画"
dispute,"n. 争论
v. 争论"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
[经] 履行(契约), 满期"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
[法] 履行, 完成, 达到"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
landlord,"n. 房东, 地主
[经] 业主, 地主, 房东"
literature,"n. 文学, 文艺, 著作
[经] 广告, 商品介绍等文学"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
numerous,"a. 很多的, 数目众多的, 多数的
[机] 多数的, 甚多的"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
pardon,
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
prevent,"v. 预防, 防止, 阻止, 妨碍"
protest,普罗试验
rear,[地名] 雷河 ( 英 )
rent,n. [口语]爸；妈
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
seal,[网络] 那太简单了
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
[计] 片"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
stretch,"vt. 伸展,张开
vi. 伸展
adj. 可伸缩的
n. 伸展，延伸
n. (Stretch)人名；(英)斯特雷奇"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
tavern,"n. 酒馆, 客栈"
timber,"n. 木材, 木料
vt. 用木材建造"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
wring,[机] Ｗ型密封环
account,"n. 账户；解释；账目，账单；理由
vi. 解释；导致；报账
vt. 认为；把…视为"
angle,[网络] -角度
aware,"a. 知道的, 有觉悟的"
bold,"a. 大胆的
n. 粗体
[计] 粗体"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
complain,"v. 抱怨, 抗议, 控诉"
consolation,"n. 安慰, 令人安慰的事物
[法] 安慰, 慰问"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
[计] 崩溃"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
deserve,"vt. 该得到, 值得
vi. 应得报答"
distinction,n. 区别
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
[计] 回显; DOS批处理命令:控制MS-DOS命令是否在屏幕上显示"
enormous,"a. 巨大的, 庞大的"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
[医] 暴露, 露置"
farewell,进展顺利
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
[计] 功能, 函数"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
[法] 无知的, 愚昧的, 不知情的"
inquire,未装订
item,"n. 项目, 条款, 一则, 项
[计] 项"
landscape,地景
liver,"n. 肝脏, 生活者, 居民
[医] 肝"
manuscript,[网络] 手稿
millionaire,"n. 百万富翁, 大富豪
[经] 大资本家, 巨富, 百万富翁"
murder,[网络] 谋杀罪
obey,[网络] 遵守
organization,"n. 组织, 结构, 团体, 体制
[医] 组织, 机构, 机化(血栓或坏死组织)"
parliament,"n. 国会, 议会
[法] 会议, 国会, 议院"
pepper,"n. 胡椒粉, 胡椒, 辣椒
[化] 胡椒; 辣椒; 花椒"
poetry,"n. 诗, 韵文, 诗歌艺术"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
[计] 预览"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
[法] 不注意的, 粗心大意的, 鲁莽的"
repair,"vi. 修理；修复
vt. 修理；恢复；补救, 纠正
n. 修理, 修补；修补部位"
saint,"n. 圣徒, 圣人
a. 神圣的
[计] 自动积分程序符号"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
[计] 搜索, 路径检索程序"
sheriff,"n. 郡治安官, 县治安官
[法] 司法行政官, 郡长, 执行吏"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
[法] 严格的, 精确的, 绝对的"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
tin,"保持,握,容纳"
trim,[网络] 太安科技；降雨指数
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
wealthy,"a. 富有的, 丰裕的, 充分的"
wrist,"n. 手腕, 腕关节
[医] 腕"
accustom,vt. 使习惯于
ankle,"n. 踝
[医] 踝, 踝关节"
bachelor,"n. 单身汉, 学士
[法] 学士, 单身汉"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
[计] 边框"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
[计] 合并计算"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
decent,"a. 有分寸的, 得体的, 大方的"
despair,"n. 绝望, 失望
vi. 绝望"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
enterprise,"n. 企业, 事业心, 进取心, 干事业
[计] 企业"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
[计] 导出"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
insist,"v. 坚持, 坚决主张, 强调"
jar,"n. 缸；坛子；（玻璃）罐子；广口瓶
v. 受震动而疼痛；（对…）产生不快的影响；使烦躁；（与…）不协调
[网络] 文件"
lane,[网络] 局域网仿真技术
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
maple,"n. 枫, 枫木, 淡棕色
[机] 枫木"
mingle,v. (使)混合
muscle,"n. 肌肉, 臂力
[医] 肌"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
[计] 对象"
origin,"n. 起源, 起因, 出身, 开端
[计] 原点; 起始地址; 信件来源的相关数据"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
[医] 有毒的"
previous,"a. 早先的, 前面的, 过急的
[法] 以前的, 生前的, 前述的"
province,"n. 省, 地方, 职权, 领域
[法] 省, 地方, 领域"
recommend,"vt. 推荐, 介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
replace,"vt. 取代, 代替；替换, 更换；归还, 偿还；把…放回原处"
ridiculous,"a. 荒谬的, 可笑的"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
[计] DOS内部命令:该命令可将批处理参数向左移动一个位置"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
[计] 串行线接口协议"
sphere," 表示：u201c球体的u201d,u201c似球的u201d：planisphere; u201c地球(或其他星球)诸层气体的u201d：ionosphere"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
[计] 笔划"
suspicion,"n. 怀疑, 觉察, 嫌疑
[法] 怀疑, 疑心, 嫌疑"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
[医] 颞颥, 颞部"
toad,"n. 蟾蜍, 癞蛤蟆, 讨厌的家伙"
troublesome,"a. 麻烦的, 令人讨厌的"
vessel,"n. 船, 容器, 脉管
[医] 管, 脉管, (容)器"
web,[网络] 蜘蛛网；换为
yell,[网络] 叫喊
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
apparent,"a. 清晰可见的, 显然的, 表面上的
[电] 外在的"
barn,"n. 谷仓
[化] 靶(恩)(核反应截面单位)"
bore,"adj.  枪筒的；与数词连用组成形容词指枪筒的尺寸的； comb. 表示""...口径的"""
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
chilly,"a. 寒冷的, 冷淡的, 不友好的
[建] 番椒, 冷"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
[计] 编写"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
[计] 常量; 常数; 恒值"
create,"vt. 创造, 建造, 引起, 任命"
decisive,"a. 决定性的, 坚定的, 果断的"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
district,"n. 区域, 地方
[医] 地区, 地段"
edible,"n. 食品, 食物
a. 可食用的"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
explore,"v. 探险, 探测, 探究"
fate,"n. 命运, 运气
vt. 注定"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
[计] 浮动"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
[法] 重大的, 主要的, 伟大的"
healthy,"a. 健康的, 有益健康的, 卫生的
[医] 健康的"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
local,abbr. low calorie 低卡路里
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
[计] 次要"
mutual,"a. 相互的, 共有的
[经] 相互的"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
priceless,"a. 无价的, 极贵重的"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
recognize,[网络] 重新认知；认清
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
[计] 重复"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
sake,"n. 目的, 缘故, 理由"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
slight,"adj. 轻微的；略微的；细小的；纤细的
n. 侮慢；冷落；轻视
v. 侮慢；冷落；轻视
[网络] 微小的；少量的；细长的"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
[计] 字符串, 串"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
temperature,"n. 温度, 发烧, 热度
[化] 温度"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
[化] 组织"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
verse,"n. 诗；韵文；诗节；歌曲的段落
v. 作诗；用诗表现；(把…)写成诗
[网络] 诗歌；诗句；诗行"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
basis,"n. 基础, 主要成分
[化] 基底"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
candle,"n. 蜡烛
vt. 对着光检查"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
[计] DOS内部命令:在批处理文件中
该命令用于提示用户作出选择, 决定批处理文件的流程"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
constitute,"vt. 构成, 组成, 任命
[建] 构造, 组成"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
[计] 纸牌背面图案"
despise,vt. 轻视
distribute,"vt. 分配, 散布, 分发
[经] 分配, 分发"
educate,"vt. 教育, 培养, 训练"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
[计] 故障"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
funeral,"n. 葬礼, 出殡"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
[计] 授权命令"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
[计] 堆"
immediate,"a. 立即的, 直接的, 接近的
[医] 直接的, 立即的"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
lap,[网络] 大腿；亮氨酸氨肽酶；左房压
locate,"vt. 找出, 设于, 位于
vi. 定居"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的"
mysterious,"a. 神秘的, 难解的, 不可思议的"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
outbreak, 超欠挖
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
perilous,"a. 危险的, 濒临毁灭的"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
[计] 引用"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
[计] 请求"
ripe,"a. 成熟的, 熟练的, 成年的
[医] 成熟的"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
[计] 安全性, 保密性, 安全检查程序"
shortcoming,n. 缺点；短处
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
