foolishly,"adv.愚笨地,无聊地"
foresee,"vt.预见,预知"
industrial,"adj.工业的,产业的,实业的,从事工业的n.工业工人,[商]工业股票"
phenomenon,n.现象
downturn,n.低迷时期
recovery,"n.恢复,痊愈,防御"
for good,
insatiable,"adj.不知足的,贪求无厌的"
restructure,"vt.更改结构,重建构造,调整,改组"
immune,adj.免疫的
automation,"n.自动控制,自动操作"
threatened,
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
via," prep.经,通过,经由"
digital,"adj.数字的,数位的,手指的n.数字,数字式"
scary,adj.引起惊慌的
tightly,"adv.紧紧地,坚固地"
vulnerable,"adj.易受攻击的,易受...的攻击"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
standardize,"vt.使符合标准,使标准化"
individual,"n.个人,个体adj.个别的,单独的,个人的"
creativity,"n.创造力,创造"
perform,"vt.履行,执行,表演,演出v.完成任务"
initiative,n.主动
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
reinvent,"vt.(在不知他人以发明的情况下)从复发明,彻底改造,从新使用"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
respond,"v.回答,响应,作出反应vi.有反应"
unexpected,"adj.想不到的,意外的,未预料到"
predictable,adj.可预言的
formula,"n.公式,规则,客套语"
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记"
reframe,"vt.再构造,再组织"
innovate,
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到"
augment,"v.增加,增大n.增加"
institution,"n.公共机构,协会,制度"
be prone to,
overreaction,
react,"vi.起反应,起作用,反抗,起反作用"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
eliminate,"vt.排除,消除v.除去"
hard-wired,
defense,
millisecond,n.毫秒
accurately,"adv.正确地,精确地"
complex,"adj.复杂的,合成的,综合的n.联合体"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
neuroticism,
open-mindedness,
mechanism,"n.机械装置,机构,机制"
assess,"vt.估定,评定"
sociable,"adj.好交际的,友善的,增进友谊的,喜欢群居的"
aspect,"n.样子,外表,面貌,(问题等的)方面"
stimulus,"n.刺激物,促进因素,刺激,刺激"
interpersonal,"adj.人与人之间的,关于人与人之间关系的"
realm,n.领域
psychologist,n.心理学者
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
logo,n.标识语 Logo教学语言
unconsciously,"adv.无意中,不知不觉"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
expose,"vt.使暴露,受到,使曝光v.揭露"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
impatience,n.急躁
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
flash,"n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
option,"n.选项,选择权,[经]买卖的特权"
representative,"n.代表adj.典型的,有代表性的"
real estate,
screener,
attractive,"adj.吸引人的,有魅力的"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
agent,n.代理(商)
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
applicant,"n.申请者,请求者"
slice,"n.薄片,切片,一份,部分,片段v.切(片)"
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式"
evaluation,"n.估价,评价,赋值"
reliably,adv.可靠性
retreat,"vi.撤退,退却n.撤退,退却"
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
differentiate,"v.区别,区分"
intermittently,adv.间歇地
contemplate,"v.凝视,沉思,预期,企图"
imaginative,"adj.想象的,虚构的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
temptation,"n.诱惑,诱惑物"
pause,"n.中止,暂停,休止符vi.暂停,中止,停顿,踌躇n.暂停"
rise above,
trend,"n.倾向,趋势vi.伸向,倾向,通向"
particularly,"adv.独特地,显著地"
diagnosis,n.诊断
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
treatment,"n.待遇,对待,处理,治疗"
isolated,"adj.隔离的,孤立的,单独"
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
side-by-side,
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
diagnose,v.诊断
generate,"vt.产生,发生"
liver,"n.居住者,生活优裕的人,肝脏"
confront,"vt.使面临,对抗"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
tumor,
lung,"n.肺,呼吸器,肺脏"
react,"vi.起反应,起作用,反抗,起反作用"
organic,"adj.器官的,有机的,组织的,建制的"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
stock up,
heal,"v.治愈,医治,结束"
posse,"n.临时组织的一群人,一队"
tour,"n.旅行,游历,旅游v.旅行,游历,巡回,漫游"
celebrity,"n.名声,名人"
babe,"n.小孩,缺乏经验的人"
cartoonist,n.漫画家
name a few,
documentary,"n.记录片adj.文件的 纪录片 记录片,文献片"
cope,"vi.(善于)应付,(善于)处理"
make up,
insightful,"adj.富有洞察力的,有深刻见解的"
swear,"vi.诅咒v.宣誓,发誓"
second opinion,
reflect,"v.反射,反映,表现,反省,细想"
time-saving,
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
gown,"n.长袍,法衣,礼服,睡袍"
regulation,"n.规则,规章,调节,校准"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
cautiously,adv.慎重地
miracle,"n.奇迹,奇事"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
fashionable,"adj.流行的,时髦的"
be stuck with,
eyebrow wax,
dazzle,"v.(使)眼花,眩耀n.耀眼"
superficial,"adj.表面的,肤浅的,浅薄的"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
strategy,"n.策略,军略"
psychologist,n.心理学者
illusory,"adj.产生幻觉的,幻影的,错觉的,虚假的,不牢靠的"
superiority,"n.优越,高傲"
statistical,"adj.统计的,统计学的"
impossibility,"n.不可能之事,不可能"
deep-seated,
amass,"vt.收集,积聚(尤指财富)"
rose-tint,
defensive,"adj.防御用的,自卫的n.防御"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
boost,v.推进
stalk,"n.茎,柄,梗,秆"
self-affirming,
criticise,"v.批评,吹毛求疵,非难"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
hot stuff,
oversee,"v.俯瞰,监视,检查,视察"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
version,"n.译文,译本,翻译"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
intuitively,"adv.直觉地,直观地"
conscious,
deliberation,"n.熟思,从容,商议,考虑"
falsely,"adv.虚伪地,不实地,错误地"
genuinely,"adv.真诚地,诚实地"
attractiveness,
lineup,"n.阵容,阵形,一组人"
alter,v.改变
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
flattering,"adj.谄媚的,讨人欢喜的,奉承的,(肖像等)比真容更美丽"
significant,"adj.有意义的,重大的,重要的"
gender,"n.[语法] 性,<口>性别,性,性交"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
doctor,"n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
insecurity,"n.不安全,不安全感"
correspond,"vi.符合,协调,通信,相当,相应"
marker,"n.作记号的人,记分员,纪念碑,标记,里程碑n.[军]标兵"
delusion,n.错觉
depressed,"adj.沮丧的,降低的"
response,"n.回答,响应,反应"
participant,"n.参与者,共享者adj.参与的"
make up for,
self-esteem,
reflection,"n.反射,映象,倒影,反省,沉思,反映"
viscerally,
recognise,"v.承认,识别,认可"
cream,"n.乳酪,奶油,(护肤)面霜"
intellect,n.智力
dishonest,adj.不诚实的
portray,v.描绘
paradise,n.天堂
wit,"n.智力,才智,智慧"
profile,"n.剖面,侧面,外形,轮廓"
idealise,v.<主英> =idealize
contemporary,"n.同时代的人adj.当代的,同时代的"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
virtually,"adv.事实上,实质上"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
unbearable,"adj.无法忍受的,承受不住的"
subway,"n.地道,<美> 地铁"
reality,"n.真实,事实,本体,逼真"
gain,"n.财物的增加,财富的获取,利润,腰槽,收获vt.得到,增进,赚到,开腰槽于vi.获利,增加"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
interact,"vi.互相作用,互相影响"
plug,"vt.堵,塞,插上,插栓n.塞子,插头,插销"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
mental,"adj.精神的,智力的"
rejection,n.拒绝
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
misinterpret,vt.曲解
weird,"adj.怪异的,超自然的,神秘的,不可思议的,超乎事理之外的n.<古><苏格兰>命运,预言,符咒"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
disruptive,"adj.使破裂的,分裂性的"
inherently,"adv.天性地,固有地"
acquaintance,"n.相识,熟人"
security,n.安全
blanket,n.毯子vt.覆盖
perceive,"vt.察觉v.感知,感到,认识到"
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
commuter,"n.通勤者,经常往返者"
predict,"v.预知,预言,预报"
participant,"n.参与者,共享者adj.参与的"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
band aid,
behavioral,adj.动作的
unthinkable,"adj.不能想象的,想象不到的,不可思议的,过分的"
summarize,"v.概述,总结,摘要而言"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
commute,"v.交换,抵偿,减刑,<电工>整流"
absolute,"adj.完全的,绝对的"
connection,"n.连接,关系,接线,线路,亲戚"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
nonstandard,"adj.不标准的,(尤指语言)不规范的,[数]非标准的"
take its toll,
rotate,v.(使)旋转 /v.旋转/翻转
sociology,n.社会学
familial,"adj.家族的,家庭的"
decade,"n.十年,十"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
relationship,"n.关系,关联"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
involve,"vt.包括,笼罩,潜心于,使陷于"
participate,"vi.参与,参加,分享,分担"
disproportionately,
graveyard shift,
irregular,"adj.不规则的,无规律的"
gender,"n.[语法] 性,<口>性别,性,性交"
clerical,"adj.牧师的,书记的n.牧师"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
generate,"vt.产生,发生"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
dual,"adj.双的,二重的,双重"
split-shift,
schedule,"n.时间表,进度表v.确定时间"
likelihood,"n.可能,可能性"
marital,adj.婚姻的
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
correlation,"n.相互关系,相关(性)"
instability,n.不稳定(性)
interaction,"n.交互作用,交感"
relative,"n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的"
provider,"n.供给者,供应者,养家者"
reliance,"n.信任,信心,依靠,依靠的人或物"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
employee,"n.职工,雇员,店员"
employer,"n.雇主,老板"
substantial,"adj.坚固的,实质的,真实的,充实的"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
swing shift,
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
necessity,"n.必要性,需要,(常 pl.) 必需品"
prevalent,"adj.普遍的,流行的"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
virtually,"adv.事实上,实质上"
emphasize,"vt.强调,着重v.强调"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
emotional,"adj.情绪的,情感的"
highly,"adv.高地,非常"
complexity,"n.复杂(性),复杂的事物,复杂性"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
increasingly,"adv.日益,愈加"
valuable,"adj.贵重的,有价值的,颇有价值的"
stove,n.炉
announce,"vt.宣布,通告"
boost,v.推进
daring,adj.大胆的
networking,
whole,"n.全部,全体,整体,完全之体系adj.所有的,完整的,完全的,纯粹的,未损伤的,未打破的adv.完全,整个"
exchange,"vt.交换,调换,兑换,交流,交易n.交换,调换,兑换,交流,交易"
barter,"n.物品交换,实物交易v.物品交换,交换"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
flat,"adj.平坦的,扁平的,单调的,倒下的,浅的,干脆的,无聊的,无力的adv.平直地,仰卧地,恰恰,正好,断然地n.平面,平地,一层,公寓v.(使)变平,(使)降半音"
in advance,
techie,
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
currency,n.流通
output,"n.产量,输出,输出量"
machinery,"n.[总称] 机器,机械"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
garment,"n.衣服,外衣,外表"
booming,adj.急速发展的
ironing,n.熨平衣服
primitive,"adj.原始的,远古的,粗糙的,简单的"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
price,"n.价格,价钱,代价vt.给...定价,问...的价格,标明价格"
want,"vt.想要,希望,需要,短缺,缺少n.需要,短缺"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
advertising,"n.广告业,广告adj.广告的"
statistic,"n.统计量adj.统计的,统计学的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
arrange,"v.安排,排列,协商"
grade,"n.等级,级别vt.评分,评级v.分等级"
hyperinflation,
nontradable,
nonprofit,"adj.非赢利的,不以赢利为目的的,无利可图的"
liberate,"v.解放,释放"
middleman,n.中间人
precapitalist,
remote,"adj.遥远的,偏僻的,细微的"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
evoke,"vt.唤起,引起,博得"
strive,"v.努力,奋斗,力争,斗争"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
intelligence,"n.智力,聪明,智能"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
counterpoint,"n.[音]对位法,旋律配合,对应物"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
one-time,
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
persuasion,"n.说服,说服力"
analyze,"vt.分析,分解"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
theorist,"n.理论家,空谈家"
diplomacy, 外交
leadership,"n.领导能力,领导阶层"
preferable,"adj.更可取的,更好的,更优越的"
context,"n.上下文,文章的前后关系"
historical,"adj.历史(上)的,有关历史的"
outdated,"adj.过时的,不流行的"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
undermine,v.破坏
synthesis,"n.综合,合成"
combination,"n.结合,联合,合并,化合,化合物"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
observe,"vt.观察,观测,遵守,评述,说"
emphasis,"n.强调,重点"
democracy,"n.民主政治,民主主义"
traditional,"adj.传统的,惯例的,口传的,传说的"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
theoretical, 理论的
transformational,
round up,
academic,"adj.学院的,理论的"
volume,"n.卷,册,体积,量,大量,音量"
anecdote,"n.轶事,奇闻"
contemporary,"n.同时代的人adj.当代的,同时代的"
corporate,"adj.社团的,法人的,共同的,全体的"
apparently,adv.显然地
summarize,"v.概述,总结,摘要而言"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥"
morality,adj.道德的n.道德
alas,int.唉
depict,"vt.描述,描写"
nail the jelly to the wall,
moral,"adj.道德(上)的,精神的n.道德"
recur,"vi.复发,重现,再来"
circumstance,"n.环境,详情,境况"
vice versa,
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
slippery,"adj.滑的,光滑的"
aspect,"n.样子,外表,面貌,(问题等的)方面"
theme,"n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐] 主题,主题曲,主旋律"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
ultimately,"adv.最后,终于,根本,基本上"
debt,"n.债务,罪过"
acute,"adj.敏锐的,[医]急性的,剧烈"
converge,"v.聚合,集中于一点vt.会聚"
deny,"v.否认,拒绝"
uncompetitive,
devaluation,n.(货币)贬值
chronic,"adj.慢性的,延续很长的"
core,"n.果核,中心,核心"
discipline,"n.纪律,学科v.训练"
debate,"v.争论,辩论n.争论,辩论"
stuck, vbl.stick的过去式和过去分词
harmonisation,
harmonise,v.<主英> =harmonize
disintegration,n.瓦解
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
competitiveness,
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
freeze,"v.(使)结冰,(使)冷冻,冻结"
suspension,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
quasi-automatic,
threat,"n.恐吓,凶兆,威胁"
fund,"n.资金,基金v.支助,投资"
ministerial,adj.部的
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
co-ordination,
liberalism,n.自由主义
inner,"adj.内部的,里面的,内心的n.内部"
insist,"v.坚持,强调"
majority,"n.多数,大半n.[律] 成年"
rigour,n.严格
interference,"n.冲突,干涉"
politician,"n.政治家,政客"
monetary,"adj.货币的,金钱的"
redistribution,"n.重新分配,再莍st/9ri:dIstrI`b"
via," prep.经,通过,经由"
fiscal,"adj.财政的,国库的,会计的,国库岁入的n.(苏格兰和欧洲某些国家的)检查官,印花税票"
murmur,"n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语"
competition,"n.竞争,竞赛"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
Eurobond,
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
curb,n.路边
write off,
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
ambitious,"adj.有雄心的,野心勃勃的"
blunt,"adj.钝的,生硬的"
globalization,"n.全球化,全球性"
capitalism,n.资本主义
remarkably,"adv.非常地,显著地,引人注目地"
internal,"adj.内在的,国内的"
comparable,"adj.可比较的,比得上的"
attempt,"n.努力,尝试,企图vt.尝试,企图"
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
lingua franca,
emotional,"adj.情绪的,情感的"
parachute,n.降落伞
passion,"n.激情,热情,耶稣的受难和死亡"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
corporate,"adj.社团的,法人的,共同的,全体的"
spin off,
mission,"n.使命,任务,使团,代表团"
strategy,"n.策略,军略"
era,"n.时代,纪元,时期,[地]代"
oriented,adj.导向的
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
conscious,
vocabulary,"n.词汇,词汇量,词表"
explicitly,"adv.明白地,明确地"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
intend,"vt.想要,打算,意指,意谓"
allegiance,"n.忠贞,效忠"
terminology,n.术语学
religious,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的n.僧侣,尼姑,修道士"
infuse,"vt.灌输,注入,沏或泡(茶、药等),浸渍,鼓舞vi.泡,注"
importation,"n.进口,输入品"
historically,
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
fulfillment,"n.履行,实行"
amid, prep.在...中
buzzword,
motivate,v.激发
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
unplug,"v.拔去(塞子,插头等),去掉...的障碍物"
life-hack,
boundary,"n.边界,分界线"
bandwidth, 带宽
irony,"n.反话,讽刺,讽刺之事"
willingly,"adv.自动地,欣然地"
linguist,n.语言学家
buy,"v.买n.购买,买卖"
fundamentally,"adv.基础地,根本地"
indifferent,adj.无关紧要的
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
absorb,"vt.吸收,吸引"
nonsense,"n.胡说,废话"
define,"vt.定义,详细说明"
processor,n.处理机 处理器
secretarial,"adj.秘书的,书记的"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
memo,n.备忘录
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
employee,"n.职工,雇员,店员"
manufacture,"vt.制造,加工n.制造,制造业,产品"
wholesaler,n.批发商
typist,n.打字员
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
decrease,"n.减少,减少之量v.减少"
replace,"vt.取代,替换,代替,把...放回原处"
end up,
unemployment,"n.失业,失业人数"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
telecom, telecommunication 电信
retrain,"vt.重新教育,再教育"
communication,"n.传达,信息,交通,通讯"
technician,"n.技术员,技师"
tollbooth,n.过路收费亭
collector,"n.收藏家,征收者"
shake up,
pursue,"vt.追赶,追踪,追击,继续,从事"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
complex,"adj.复杂的,合成的,综合的n.联合体"
air-traffic controller,
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
occupation,"n.职业,占有,占有(房屋等)期间"
bachelor's degree,
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
clerical,"adj.牧师的,书记的n.牧师"
keep up with,
so-called,
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
currently,"adv.普遍地,通常地,现在,当前"
credibility,n.可信性
at risk of,
bureau,"n.办公桌,衣柜 <美>局,办公署"
occupational,"adj.职业的,占领的"
outlook,"n.景色,风光,观点,见解,展望,前景"
online,"n.联机,在线式"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
statistic,"n.统计量adj.统计的,统计学的"
handbook,"n.手册,便览"
given,"adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词"
electronic,adj.电子的
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
prediction,"n.预言,预报"
fruition,"n.享用,结果实,成就,实现"
means,"n.手段,方法v.意味,想要"
revolutionize,"vt.宣传革命,大事改革"
only to,
advantage,"n.优势,有利条件,利益"
cashless,"adj.无现款的,无现金的,无钱的"
around the corner,
decade,"n.十年,十"
predict,"v.预知,预言,预报"
movement,"n.运动,动作,运转,乐章"
efficient,"adj.(直接)生效的,有效率的,能干的"
factor,"n.因素,要素,因数,代理人"
disappearance,"n.不见,消失"
card reader,
telecommunications,
network,"n.网络,网状物,广播网"
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
consumer,n.消费者
float,"n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满"
fund,"n.资金,基金v.支助,投资"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
in the meantime,
eliminate,"vt.排除,消除v.除去"
base on,
set up,
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
receipt,"n.收条,收据,收到v.收到"
be unwilling to,
cash,n.现金vt.兑现
issuer,n.发行者
