cent,"n.(货币单位)分,分币"
sonic,adj.音速的
consonant,adj.协调一致的
consonance,"n.一致,调和,[乐]协和音程,[韵]和音"
resonance,"n.共鸣,回声,反响,中介,谐振,共振,共振子,极短命的不稳定基本粒子"
dissonant,"adj.不谐和的,不调和的,刺耳的"
resonant,adj.引起共鸣的
sightsee,vi.观光
eyesight,"n.视力,目力"
farsighted,adj.有远见的
insight,"n.洞察力,见识"
shortsighted,"adj.近视的,眼光短浅的"
foresight,"n.远见,深谋远虑"
longsighted,
oversight,"n.勘漏,失察,疏忽,失败,小心照顾"
optic,"adj.眼的,视觉的,光学上的"
optician,"n.光学仪器商,眼镜商,光学仪器制造者"
optics,n.光学
optometrist,"n.验光师,视力测定者"
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
specimen,"n.范例,标本,样品,样本,待试验物"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
specification,"n.详述,[常 pl.] 规格,说明书,规范"
specialty,n.专业
partner,"n.合伙人,股东,舞伴,伴侣vt.与...合伙,组成一对vi.做伙伴,当助手"
apartment,"n.<美>公寓住宅,单元住宅,房间"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
department,"n.部,局,处,科,部门,系,学部"
impartial,"adj.公平的,不偏不倚的"
impartible,"adj.不可给予地,[律](土地,产业等)不能分割的"
participate,"vi.参与,参加,分享,分担"
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
counterpart,"n.副本,极相似的人或物,配对物"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
grade,"n.等级,级别vt.评分,评级v.分等级"
gradual,"adj.逐渐的,逐步的,渐进的"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
degrade,"v.(使)降级,(使)堕落,(使)退化"
downgrade,"n.下坡,退步adj.下坡的,使降级,小看"
gradation,"n.分等级,顺序,阶级"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
passport,n.护照
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
surpass,"vt.超越,胜过"
trespass,"n.过失,罪过,侵入v.侵入"
habit,"n.习惯,习性"
prohibit,"vt.禁止,阻止"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
habitual,"adj.习惯的,惯常的"
inhabitant,"n.居民,居住者"
habitant,n.居住者
inhabit,"vt.居住于,存在于,占据,栖息"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
order,"n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
coordinator,"n.协调者,同等的人或物"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
insubordinate,"adj.不顺从的,不听话的"
ordinal,"n.序数,[宗]仪式书adj.顺序的,依次的"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
impress,"vt.印,盖印,留下印象"
suppress,"vt.镇压,抑制,查禁,使止住"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
expression,
impression,"n.印象,感想,盖印,压痕"
depression,"n.沮丧,消沉,低气压,低压"
impressive,"adj.给人深刻印象的,感人的"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
suppression,"n.镇压,抑制"
compression,"n.浓缩,压缩,压榨,[机](发动机,如内燃机中工作液体的)压缩,密集"
repress,"vt.<美>再压,补充加压vi.压制"
pressing,adj.紧迫的v.挤压
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
drag,"v.拖,拖曳,缓慢而费力地行动n.拖拉"
draggy,adj.拖拉的
drawl,"v.懒洋洋地说,做作而慢慢地说n.懒洋洋的说话态度"
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
include,"vt.包括,包含"
enclose,"vt.放入封套,装入,围绕"
closure,n.关闭vt.使终止
disclose,"vt.揭露,透露"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
discover,"vt.发现,发觉v.发现"
discovery,"n.发现,发明的东西"
recover,"vt.重新获得,恢复,使改过vi.痊愈,复原,胜诉"
coverage,n.复盖
hardcover,"n.精装书adj.精装书的,精装的"
covert,"adj.隐蔽的,偷偷摸摸的,[律]在丈夫保护下的n.掩蔽处,隐藏处"
softcover,
tolerate,"vt.忍受,容忍"
tolerable,"adj.可容忍的,可以的"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
intolerant,"adj.不宽容的,偏狭的"
intolerance,"n.(尤指对别人的意见)不能忍耐,不容异说,偏狭,[医](对食物,药物等)不耐性"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
exclaim,"v.呼喊,惊叫,大声叫"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
proclaim,"vt.宣布,声明,显示,显露"
clamorous,adj.大喊大叫的
clamor,"n.喧闹,叫嚷,大声的要求v.喧嚷,大声的要求"
insure,vt.给...保险v.确保
insurance,"n.保险,保险单,保险业,保险费"
assure,"vt.断然地说,确告,保证,担保"
assuredly,"adv.确实地,确信地"
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
assurance,"n.确信,断言,保证,担保"
double,"n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
dual,"adj.双的,二重的,双重"
duet,n.二重奏
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
dubious,"adj.可疑的,不确定的"
redouble,"n.再加倍v.加倍,加强"
unite,"v.联合,团结"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
unity,"n.团结,联合,统一,一致"
unify,"vt.统一,使成一体"
moral,"adj.道德(上)的,精神的n.道德"
morale,"n.士气,民心"
demoralize,v.士气受挫
mores,"n.风俗,习惯,民德,道德观念"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
negligence,n.疏忽
negligible,"adj.可以忽略的,不予重视的"
negate,"vt.否定,打消"
renege,"vi.食言,违例出牌vt.否认,拒绝n.出牌违例"
similar,"adj.相似的,类似的"
resemble,"vt.象,类似"
assemble,"vt.集合,聚集,装配vi.集合"
similarity,"n.类似,类似处"
simultaneous,"adj.同时的,同时发生的"
simulate,"vt.模拟,模仿,假装,冒充"
dissimilar,"adj.不同的,相异的"
resemblance,n.类同之处
verisimilar,adj.好象真实的
via," prep.经,通过,经由"
obvious,"adj.明显的,显而易见的"
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
convey,"vt.搬运,传达,转让"
convoy,"n.护送,护卫vt.护航,护送"
trivial,"adj.琐细的,价值不高的,微不足道的"
deviate,"vi.背离,偏离v.偏离"
viaduct,"n.高架桥,高架铁路,间道"
fragile,"adj.易碎的,脆的"
fragment,"n.碎片,断片,片段"
fraction,"n.小部分,片断,分数"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
frail,"adj.虚弱的,脆弱的,(意志)薄弱的n.<美俚>少女,少妇,灯心草篓"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
temporary,"adj.暂时的,临时的,临时性"
contemporary,"n.同时代的人adj.当代的,同时代的"
temperate,"adj.有节制的,适度的,戒酒的,(气候)温和的"
tempest,"n.暴风雨,骚乱,动乱vt.使狂怒,扰乱,使激动vi.起大风暴,小题大作"
extempore,"adj.即席的,当场的adv.即席,当场n.即席之作"
progress,"n.前进,进步,发展vi.前进,进步,进行"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
digress,v.离题
retrogress,v.退步
transgress,"vt.违反,犯罪,侵犯vi.越界,违法"
aggression,"n.进攻,侵略"
police,"n.警察队,警察机关,公安部门vt.管辖,维持治安adj.警察的,有关警察的"
politician,"n.政治家,政客"
policy,"n.政策,方针"
politics,"n.政治,政治学,政纲,政见"
metropolis,"n.首都,主要都市,都会,大主教教区,大城市"
civilian,"n.平民,公务员,文官adj.民间的,民用的"
civic,"adj.市的,市民的,公民的"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
civilization,"n.文明,文化,文明社会 文明,一个著名游戏的名称"
civilize,"vt.使开化,使文明,教化"
civility,"n.礼貌,端庄"
harmony,"n.协调,融洽"
harmonious,"adj.和谐的,协调的,和睦的,悦耳的"
harmonic,"adj.谐和的,和声的,融洽的n.谐波,和声,谐函数"
harmonical,"adj.(=harmonic)调和的,音乐般的"
tour,"n.旅行,游历,旅游v.旅行,游历,巡回,漫游"
tournament,"n.比赛,锦标赛,联赛"
contour,"n.轮廓,周线,等高线"
detour,"n.便道,绕路vi.绕路而行vt.使绕道"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
quiet,"adj.静止的,宁静的,从容的n.安静,闲适vi.平静下来vt.使平静,使安心,减轻(疑虑、恐惧等)"
disquiet,"n.忧虑,不安vt.使不安,使忧虑"
quietude,"n.平静,寂静"
inquietude,n.不安
acquiescence,n.默许
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
fluency,"n.流利,流畅,雄辩"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
affluent,"adj.丰富的,富裕的"
influenza,n.流行性感冒
superfluous,"adj.多余的,过剩的,过量的"
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
liquor,"n.液体,汁,酒精饮料,[药]溶液vt.浸水vi.喝酒"
liquidity,"n.流动性,流畅"
liquidate,v.清算
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
generation,"n.产生,发生,一代,一代人"
generous,"adj.慷慨的,大方的,有雅量的"
generate,"vt.产生,发生"
genius,"n.天才,天赋,天才人物"
genuine,"adj.真实的,真正的,诚恳的"
engender,v.造成
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
generosity,"n.慷慨,宽大"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
cape,"n.海角,岬"
precipitous,"adj.陡峭的,急躁的"
capitulate,"vi.有条件投降,认输,屈服,让步,停止抵抗"
precipitate,"n.沉淀物vt.猛抛,使陷入,促成,使沉淀vi.猛地落下adj.突如其来的,陡然下降(或下落)的,贸然轻率的"
dentist,n.牙科医生
denture,"n.一副假牙,一副牙齿"
indenture,n.契约
edentate,"adj.[动]无齿的,贫齿类的n.贫齿类动物"
dent,"n.凹,凹痕,(齿轮的)齿,弱点v.使凹下,凹进,削弱"
limit,"n.界限,限度,限制vt.限制,限定"
eliminate,"vt.排除,消除v.除去"
preliminary,"adj.预备的,初步的"
limp,"adj.柔软的,易曲的vi.跛行"
supraliminal,adj.[心](感觉或意识) 阈上的
compare,"v.比较,相比,比喻 n.比较"
comparison,"n.比较,对照,比喻,比较关系"
comparable,"adj.可比较的,比得上的"
imparity,"n.不平等,不同,不配合"
disparity,"n.(职位、数量、质量等)不一致,不同,不等"
disparate,adj.全异的
nonpareil,adj.无比的n.极上品
apparent,"adj.显然的,外观上的"
transparent,"adj.透明的,显然的,明晰的"
apparel,"n.衣服,装饰"
apparition,"n.离奇出现的东西,(尤指)鬼怪,幽灵,幻影"
transparency,"n.透明,透明度,幻灯片,有图案的玻璃"
prepare,"v.准备,预备,有能力而且愿意"
repair,"n.修理,修补vt.修理,修补,补救,纠正"
apparatus,"n.器械,设备,仪器"
biparous,"adj.产双胎的,二枝的,有双轴的"
multiparous,"adj.一胎多子的,经产的,非初产的,[植]多产的"
parentage,n.出身
primiparous,"adj.初产的,初次分娩的"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
testify,"v.证明,证实,作证"
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
valuable,"adj.贵重的,有价值的,颇有价值的"
evaluate,"vt.评价,估计,求...的值v.评价"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
invaluable,"adj.无价的,价值无法衡量的"
undervalue,v.低估
prejudice,"n.偏见,成见,损害,侵害v.损害"
adjudge,"vt.宣判,判决,把...判给,认为"
judgment,n.判断
prejudge,v.预先判断
judicial,"adj.司法的,法院的,公正的,明断的"
adjudicate,"v.判决,宣判,裁定"
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
requital,n.偿还
quitclaim,n.放弃权利vt.放弃合法权利
requite,"vt.报答,酬谢"
acquit,"vt.宣告无罪,脱卸义务和责任,还清(债务)"
acquittal,n.宣判无罪
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
discriminate,"v.歧视,区别,区别待遇"
incrimination,"n.连累,控告"
incriminate,"vt.控告...有罪,使负罪,控告"
recriminate,"v.反责,反唇相讥,反控诉"
front,"n.前面,开头,前线,(政治上的)阵线,态度,外表vt.面对,朝向,对付vi.朝向"
frontal,n.前沿
confront,"vt.使面临,对抗"
affront,"n.公开侮辱,轻蔑vt.公开侮辱,冒犯,面对"
forefront,"n.最前部,最前线,最活动的中心"
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到"
untouchable,"n.贱民adj.禁止触摸的,管不着的,独特的,不可及的"
touched,adj.被感动的
touching,"adj.动人的,令人同情的 prep.<书>关于,至于"
touchy,"adj.暴躁的,难以处理的,易起火的"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
newscast,n.<美>新闻广播
recast,"v.重铸,彻底改动,重做,重新铸造n.重铸,重铸物,重做,重做的事物"
downcast,"adj.气馁的,悲哀的,沮丧的,(眼睛)向下看的"
overcast,"n.覆盖,多云的天adj.阴天的,阴暗的,愁闷的,忧郁的vt.使阴暗vi.阴暗起来"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
appoint,"vt.约定,指定(时间,地点),任命,委任"
disappoint,vt.使失望
punctual,"adj.严守时刻的,准时的"
pointer,n.指示器
punctuality,n.准时
puncture,n.小孔v.刺破
pungent,"adj.(指气味、味道)刺激性的,辛辣的,尖锐的,苦痛的,严厉的"
numerable,"adj.可数的,可计算的"
numerous,"adj.众多的,许多的,无数的"
innumerable,"adj.无数的,数不清的"
supernumerary,"n.定额以外的人,临时雇工"
enumerate,v.列举
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机"
concentrate,"v.集中,浓缩"
eccentric,adj.古怪n.行为古怪的人
xenocentric,adj.喜爱外国之文化的
face,"n.脸,面容,表情,威信,正面,地形,外观vt.面对,面向,面临,承认,抹盖vi.朝,向"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
facet,"n.(多面体的)面,(宝石等的)刻面,小平面,方面,琢面vt.在...上刻画"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
deface,"vt.损伤外观,丑化,使失面子"
memory,"n.记忆,记忆力,回忆,存储(器),存储器 存储器,内存"
memorize,"v.[亦作memorise] 记住,记忆"
remember,"vt.回忆起,铭记,纪念vi.记得"
memorable,"adj.值得纪念的,难忘的"
memorial,"n.纪念物,纪念馆,纪念议事,请愿书adj.记念的,记忆的"
amnesiac,"adj.记忆缺失的,(引起) 遗忘(症)的"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
amend,"v.修正,改进,改正"
aloud,adv.大声地
alone,"adj.单独的,独一无二的,孤独的,独自的adv.独自地"
arise,"vi.出现,发生,起因于"
awake,"vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的"
aware,"adj.知道的,明白的,意识到的"
avoid,"vt.避免,消除"
await,vt.等候
abase,v.降低
afresh,"adv.重新,再度"
amass,"vt.收集,积聚(尤指财富)"
asleep,"adj.睡着的,睡熟的"
away,"adv.在远处,到远处,离去"
ahead,"adj.adv.在前,向前,提前,在前面"
alive,"adj.活着的,活泼的"
aside,"adv.在旁边,到旁边"
amoral,"adj.与道德无关的,超道德的"
apathy,"n.缺乏感情或兴趣,冷漠"
asocial,"adj.缺乏社交性的,自我中心的,自私的"
asymmetry,n.不对称
atypical,adj.非典型的
arrange,"v.安排,排列,协商"
assure,"vt.断然地说,确告,保证,担保"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attract,"vt.吸引vi.有吸引力,引起注意"
accelerate,"v.加速,促进"
accompany,"vt.陪伴,伴奏"
accumulate,"v.积聚,堆积"
attain,"vt.达到,获得v.达到"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
assist,"v.援助,帮助"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
affirm,"v.断言,确认,肯定"
applause,"n.鼓掌欢迎,欢呼"
assault,"n.攻击,袭击v.袭击"
aggravate,"vt.使恶化,加重"
abbreviate,"v.缩写,缩短,简化,简写成,缩写为"
aggression,"n.进攻,侵略"
affliction,"n.痛苦,苦恼"
appease,"vt.平息,安抚,缓和,使满足"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
adept,"adj.熟练的,拿手的;n.老手,擅长者"
adjust,"vt.调整,调节,校准,使适合"
adventure,"n.冒险,冒险的经历v.冒险"
adapt,"vt.使适应,改编"
administrate,"vt.管理,支配"
admire,"v.赞美,钦佩,羡慕"
adopt,"vt.采用,收养"
adhere,"vi.粘附,胶着,坚持v.坚持"
adjacent,"adj.邻近的,接近的"
dislike,"vt.讨厌,不喜欢n.嫌恶"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
disagree,"vi.不一致,不适宜"
disappear,"vi.消失,不见"
dishonest,adj.不诚实的
dissimilar,"adj.不同的,相异的"
distrust,n.不信任vt.不信任
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
disobey,"v.违反,不服从"
disproof,"n.反证,反驳,反证物,反驳的证据"
discolor,"v.使脱色,使污染v.(使)变色,(使)退色"
discourage,"vt.使气馁,阻碍"
discover,"vt.发现,发觉v.发现"
disarm,"vt.解除武装,回复平常的编制,缓和,消除(敌意,疑虑)vi.放下武器"
displace,"vt.移置,转移,取代,置换v.转移"
disable,"v.使残废,使失去能力,丧失能力"
divide,"v.分,划分,分开,隔开,"
distend,"v.(使)扩大,(使)扩张"
disband,"v.解散,裁减"
distract,v.转移
disorganize,"v.扰乱,使紊乱,打乱"
dispense,"vt.分发,分配"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开vi.解散"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
discuss,"vt.讨论,论述"
dispart,"v.分,分离,分开"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
nonsense,"n.胡说,废话"
nonsmoking,
nonessential,adj.非本质的n.不重要的人
nonhuman,adj.非人类的
nonprofessional,"adj.无职业的,无专长的"
nonprofit,"adj.非赢利的,不以赢利为目的的,无利可图的"
nonstop,adj.不断的
nonexistent,adj.不存在的
nonfiction,n.非小说的散文文学
nontraditional,"adj.非传统的,不符合传统的"
nontoxic,adj.无毒的
nonalcoholic,adj.不含酒精的
mislead,vt.误导
misread,"vt.读错,看错"
misdeed,"n.罪行,犯罪"
misinterpret,vt.曲解
misunderstand,"vt.误解,误会"
misapply,"vt.误用,滥用"
misguide,vt.误导
misbehavior,"n.不礼貌,品行不端"
miscalculate,vt.误算vi.算错
misfortune,"n.不幸,灾祸"
mishap,n.灾祸
misjudge,v.判断错
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
opponent,"adj.对立的,对抗的n.对手,反对者"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
obverse,adj.正面的
reaction,"n.反应,反作用,反动(力)"
reflect,"v.反射,反映,表现,反省,细想"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
resist,"vt.抵抗,反抗,抗,忍得住"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
resent,"v.愤恨,怨恨"
reappear,vi.再出现
rebirth,"n.复活,新生,复兴,轮回"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
reexamination,n.复试
reprint,v.再版
recompense,v.报偿n.报偿
reproduction,"n.繁殖,再现,复制品"
rearrange,"vt.再排列,重新整理"
regenerate,"vt.使新生,重建,改革,革新vi.新生,再生,起革新作用adj.新生的,更新的"
reflect,"v.反射,反映,表现,反省,细想"
repel,"vt.击退,抵制,使厌恶,使不愉快"
return,"n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回"
rebound,n.回弹v.回弹
reclaim,"vt.要求归还,收回,开垦"
retract,"v.缩回,缩进,所卷(舌等),收回,取消,撤消"
resonant,adj.引起共鸣的
uncertain,"adj.无常的,不确定的,不可预测的,靠不住的"
uncommon,"adj.不凡的,罕有的,难得的"
unequal,"adj.不平等的,不同的,不平衡的,不胜任的"
unacceptable,"adj.无法接受的,不受欢迎的"
uncomfortable,"adj.不舒服的,不安的,不合意的"
uneducated,"adj.没有受过教育的,无知的"
unjust,adj.不公平的
unofficial,"adj.非官方的,非法定的,非正式的"
unbearable,"adj.无法忍受的,承受不住的"
unchangeable,"adj.不变的,不能改变的"
unconscious,"adj.不省人事,未发觉的,无意识的"
unbeatable,"adj.无敌的,无与伦比的"
unbreakable,"adj.不能破损的,牢不可破的"
unconditional,"adj.无条件的,绝对的,无限制的"
unbiased,adj.没有偏见的
unavailable,adj.难以获得的
unavoidable,"adj.不能避免的,不可避免的,不能取消的"
unlimited,"adj.无限的,无约束的"
unbutton,vt.解开...的钮扣vi.解开钮扣
uncover,"vt.揭开,揭露v.揭示"
undress,"vt.使脱衣服,暴露,使卸去装饰vi.脱衣服n.便服,晨衣"
unload,"vi.卸货,退子弹vt.摆脱...之负担,倾销,卸"
unplug,"v.拔去(塞子,插头等),去掉...的障碍物"
unearth,v.掘出
unlock,"vt.开...锁,开启,显露,放开vi.开着,解开,解出锁定"
unpack,"v.打开包裹(或行李等),卸货,揭开"
unroll,"v.解开,打开"
unveil,"vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱"
unfold,"vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏"
unfasten,"vt.解开,放松"
outwear,"v.比...经久,使筋疲力尽,用旧"
outstay,vt.逗留得比...久
outsize,adj.特大的n.特大号
outsit,"v.比...坐得更久,坐得超过...时间限度"
outspend,vt.花费超过...范围 比(他人)花费多
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
outdoor,"adj.室外的,户外的,野外的"
outflow,"n.流出,流出物"
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外"
outbreak,"n.(战争的)爆发,(疾病的)发作"
outskirts,"n.边界,(尤指)市郊"
outage,n.储运损耗
outbid,vt.出高于...的价钱
outnumber,"vt.数目超过,比...多"
outbrave,v.在勇气上超过
outlast,"vt.比...长久,比...活得长"
outlive,"v.比...长命,比...耐久,渡过...而存在,经受住"
outvote,vt.以票数胜过
outweigh,v.在重量(或价值等)上超过
overact,v.夸张表演
overconfident,"adj.过于自信的,自负的"
overburden,"vt.装载过多,负担过多,使过劳n.过重的负担"
overcharge,"v.讨价过高,使过量装填过度充电n.超载,过重的负担,过度充电"
overcooked,adj.煮得过久的
overestimate,"vt.评价过高n.估计的过高,评价的过高,"
overpraise,"vt.过度称赞,过奖n.过奖"
overdose,"n.配药量过多vt.配药过量,使服药过量"
overcoat,n.外套大衣
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
overhear,"vt.无意中听到,偷听"
overbridge,"n.天桥,陆桥"
overhang,
overleap,v.越过
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
overset,"vt.打翻,颠覆,推翻,为...排版过密vi.打翻,排版过密"
overturn,"n.倾覆,破灭,革命vt.推翻,颠倒vi.翻倒n.翻转,毁灭"
overhaul,v.检查
upfront,
upbound,
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
uphold,"vt.支持,赞成"
upheaval,n.剧变
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
empathy,"n.移情作用,[心]神入"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
embattle,"vt.列阵,布阵,严阵以待,整军备战"
embody,"vt.具体表达,使具体化,包含,收录"
empower,"v.授权与,使能够"
emborder,"v.加边,镶边"
embank,v.筑堤
embar,"v.囚禁,阻遏"
embalm,"vt.涂香油于(尸体),施以防腐剂,铭记于心,使不朽"
encourage,"vt.鼓励,怂恿v.鼓励,鼓励"
enact,"vt.制定法律,颁布,扮演"
enlarge,"v.扩大,放大"
endanger,vt.危及
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
entrap,v.诱陷
encompass,"v.包围,环绕,包含或包括某事物"
impolite,"adj.无礼的,粗鲁的"
impossible,"adj.不可能的,不会发生的,难以忍受的"
inevitable,"adj.不可避免的,必然的"
immature,"adj.不成熟的,未完全发展的"
impartial,"adj.公平的,不偏不倚的"
inability,"n.无能,无力"
inaccessible,"adj.达不到的,难以接近"
inaccurate,"adj.错误的,不准确的"
incapable,"adj.无能力的,不能的"
ineffectual,"adj.无效的,不成功的"
