man-made,[经] 人造的
Japan,"n. 日本
[化] 天然漆; 大漆; 漆器"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
[计] 分隔符; 中断; DOS内部命令:设定扫描中断按键的时机"
sportsperson,n. 运动员
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
first place,"n. 第一名
[网络] 一等奖；年度竞赛中荣获第一奖；年度竞赛之第一名"
stop sb. doing sth.,[网络] 停止做某事；停止正在做的事；停止正在做的事情
stop sb. from doing sth.,"un. 妨碍；阻止:
[网络] 阻止某人做某事；阻止做；阻止做某事"
courage,"n. 勇气, 胆量"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
take pride in,以...为傲
borrow,"vt. 借, 借入, 借用
vi. 借
[计] 借位; 借位数"
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
website,"na. 【计】网站
[网络] 网页；公司网址；参考网站"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
[计] 邮件"
textbook,"课本, 教科书"
mainly,"adv. 主要地, 大抵"
thousands of,"成千上万,数千,许许多多"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
[计] 页; 页面"
electronic,"adj. 电子的；电子器件的；电子设备的
[网络] 电子玩具；免费的电子；电子工程师"
technology,"n. 技术, 工业技术, 术语
[医] 技术学, 工艺学"
powerful,"a. 有力的, 有权力的, 强大的
[机] 强力的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
[计] 存储器, 内存, 查看内存实用程序"
full,"v. 满；把(裙子)缝出皱褶；【印,纺】蒸洗；缩绒
n. 完全；极盛时
adj. 满的；充满的；满是…的；（有）大量的
adv. 直接地；径直地
[网络] 完全的；全部；完整"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
instructions,n. 指令；说明（instruction的复数形式）
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
properly,"adv. 适当地, 相当地"
look through,"na. 浏览；翻查；对…视而不见；看穿
[网络] 通过看得"
printing,"n. 印刷, 印刷术, 印花
[计] 打印; 印刷"
at a time,"每次, 在某时"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
[网络] 用手工；手动；手工的"
development,[网络] 开发；的发展；不断发展
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
[计] 结果"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
[计] 展开"
in a way,"在某种程度上, 稍稍"
compare ... to, 把…比作， 喻为; 与…相比
introduction,"n. 介绍, 传入, 采用, 初步"
amount,"n. 总数, 总额
vi. 总计, 等同"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
[计] 存储器操作; 存储"
varied,"a. 不同的, 杂色的, 各式各样的
[法] 不同的, 种种的, 变化的"
form,"n. 形式；表格；形状；样子
v. 组成；建立；组织；产生
linkv. 成为；是
[网络] 形成；使用表单；表单标记"
connection,"n. 连接, 关系, 前后关系
[计] 连接"
single,"v. 选拔；【棒】作一垒手；(马)单步行进
adj. 仅有一个的；单一的；单个的；特指某人或事物
n. 单程票；单曲（常指流行音乐）；单曲激光唱片；（旅馆等的）单人房间
[网络] 单身；未婚；单身的"
direction,"n. 方向, 指导, 趋势
[计] 方向; 流向"
replace,"vt. 代替, 替换, 放回, 归还
[计] 替换; DOS外部命令:取代或更新文件"
wait and see,a. 观望的
here we go,[网络] 我们开始吧；又来了；我们一起开始吧
central,"a. 中央的, 重要的
[医] 中央的, 中心的, 中枢的"
according to,"na. 据…所说
[网络] 按照；根据；依照"
magical,"a. 魔术的, 有魔力的, 不可思议的"
height,"n. 高度, 海拔, 高地, 顶点
[化] 高度"
sailing boat,n. 帆船
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
sheep,"n. 羊, 胆小者"
hat,"n. 帽子
vt. 给...戴帽子"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
keep sb. away,"v. 避开
[网络] 让空；保持低调；小强打不死"
keep sth. away,"v. 避开
[网络] 让空；保持低调；小强打不死"
fly,"vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬
n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
n. (Fly)人名；(法)弗利；(英)弗莱"
scissors,"pl. 剪刀
[医] 剪"
cut sth. off sth.,"切掉, 删去, 切断, 断绝, 中断, 关掉, 使死亡
[建] 切断, 断流, 切去"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
[医] 羊毛, 绒毛, 棉[花]"
diary,"n. 日记
[经] 日记簿"
keep a diary,v. 写日记
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
ant,"Ant
[ænt]
n.
＝ Antlia
ant
[ænt]
n.
【昆虫】蚂蚁[蚁科 (Formicidae) 昆虫的俗名]
[用复数][美国英语]焦虑，不安；渴望
短语:
have ants in (one's) pants
[俚语](因焦急、气愤等而)坐立不安，焦躁不安；热锅上的蚂蚁
Ant.
abbr.
Antarctica
Antigua
Antrim
Antwerp
ant.
abbr.
antenna
antiquarian
antiquary
antiquity
antonym"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
[计] 电刷"
brush sth. off sth.,"na. 刷去；打发走；摒弃；逃掉
[网络] 拂去；撇开；刷掉"
at the time,"当时,那时"
be surprised at,对…惊讶
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
relationship,"n. 关系, 关联
[医] 关系"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
ham,"n. 火腿；〔美国〕火腿(夹心)面包；(旧时的)小镇；村庄
adj. 做作的；蹩脚的；自满的；搞业余无线电收发报的
v. (使)表演过火
[网络] 汉堡包散装；过火的；短句来源"
salad,n. 色拉
grape,"n. 葡萄, 葡萄树
[医] 葡萄"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
kangaroo,"n. 袋鼠
[医] 袋鼠(澳洲产)"
riding,"n. 骑, 乘车, 乘, 骑术, 骑马"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
bet,abbr. Black Entertainment Television(美国对黑人播放的)闭路电视网络
you bet,当然啦；一点没错；你说的没错
the thing is,问题是
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
[计] 常规"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
[计] 标准"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
difficulty,"n. 困难, 难点"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
[计] 主题, 主体"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
[计] 加法"
recently,adv. 最近
menu,"n. 菜单, (功能)选择单
[计] 菜单"
be in with a chance,[网络] 有机会
tonight,"adv. 在今夜, 在今晚
n. 今夜, 今晚"
read out,"na. 大声读；【自动化】读出
[网络] 宣读；朗读；读出来"
winner,"n. 胜利者, 优胜者
[法] 取胜者"
compared with,"na. 和…比起来
[网络] 中除过去分词"
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
blouse,n. 宽松的上衣
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
protect sth. against sth., 保护，保卫
singer,n. 歌手
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
headmaster,"n. (中小学)校长, 监工"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
factory,"n. 工厂, 产生地, 代理店
[经] 工厂, 代理店, 商行在国外的代理处"
pollute,"vt. 污染, 弄脏, 玷污
[化] 污染"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
[计] 裁剪"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
[计] 删除"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
[计] 最低成本估算与调度法"
hopeless,"a. 无希望的, 绝望的, 不可救药的"
china,"n. 中国, 瓷器
a. 中国的"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
[计] 除"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
policy,"n. 政策, 方针, 策略, 保险单
[医] 凭单, 保险单"
reuse,"vt. 再使用
n. 重新使用"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
[计] 重复"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
[计] 缩小"
cloth,"n. 布料, 织品, 布
[建] 布"
ton,"n. 吨
[经] 吨"
tons of,adj. 大量的，很多的，
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
recycling,(re-cycle 的现在分词)  [电影]鬼域; 异域
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
[计] 步骤"
grandson,"n. 孙子, 外孙"
granddaughter,"n. 孙女, 外孙女"
