define,"vt.定义,详细说明"
discontent,n.不满
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
phrase,"n.短语,习语,惯用语,成语,措词vt.用短语表达"
quote,"vt.引用,引证,提供,提出,报(价)"
context,"n.上下文,文章的前后关系"
headline,n.大字标题
graph,"n.图表,曲线图"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
paraphrase,v.解释n.解释
postal,"adj.邮政的,邮局的"
textual,"adj.本文的,原文的"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
location,"n.位置,场所,特定区域,<美>[电影]外景拍摄场地"
site,"n.地点,场所,遗址vt.定...的地点n.站点"
field,"n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的 扫描场"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
treatment,"n.待遇,对待,处理,治疗"
medical,"n.医生,体格检查adj.医学的,内科的,<古>(医)药的"
biomedical,
medication,"n.药物治疗,药物处理,药物"
cure,"v.治愈,治疗n.治愈,痊愈"
diet,"n.通常所吃的食物,会议"
surgery,"n.外科,外科学,手术室,诊疗室"
prescription,"n.指示,规定,命令,处方,药方"
therapy,n.治疗
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
span,"n.跨度,跨距,范围v.横越"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
colonial,"adj.殖民的,殖民地的n.殖民地居民"
urban,"adj.城市的,市内的"
scope,"n.(活动)范围,机会,余地"
nationwide,adj.全国性的
multinational,"adj.多国的,跨国公司的,多民族的n.多国籍公司,跨国公司"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
territory,"n.领土,版图,地域"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
regime,"n.政体,政权,政权制度"
provincial,adj.省的
empire,"n.帝国,帝权"
tribe,"n.部落,部族"
fiction,"n.虚构,编造,小说"
journal,"n.定期刊物,杂志,航海日记,分类账"
journalist,"n.新闻记者,从事新闻杂志业的人"
journalism,"n.新闻业,报章杂志"
journalistic,"adj.新闻事业的,新闻从业员的,新闻工作者的"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
license,"n.许可(证),执照vt.许可,特许v.许可"
autobiography,n.自传
newsletter,n.时事通讯
newsprint,n.新闻用纸
biographical,adj.传记的
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
composition,"n.写作,作文,成分,合成物"
compose,"v.组成,写作,排字,(使)安定,调解"
prose,n.散文
thesis,"n.论题,论文"
manuscript,"n.手稿,原稿"
channel,"n.海峡,水道,沟,路线vt.引导,开导,形成河道 信道,频道"
access,"n.通路,访问,入门vt.存取,接近"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
pathway,"n.路,径"
runway,"n.飞机跑道,斜坡跑道,河道"
entrance,"n.入口,门口,进入"
circuit,"n.电路,一圈,周游,巡回"
route,"n.路线,路程,通道v.发送"
via," prep.经,通过,经由"
bypass,"n.旁路vt.设旁路,迂回"
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
pipe,"n.管,导管,烟斗,管乐器,笛声vt.以管输送,吹哨子vi.吹笛,尖叫"
disease,"n.疾病,弊病"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
paralysis,"n.瘫痪,麻痹"
paralyzed,
infection,"n.[医] 传染,传染病,影响,感染"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
vessel,"n.船,容器,器皿,脉管,导管"
auto,n.<美口>汽车
automobile,"n.<主美>汽车(=<英>motor car,car)"
truck,"n.卡车,敞棚货车,(车站)搬行李用的手推车,交易,交换,废话,废物,实物工资vt.交易,交往,以卡车运输vi.驾驶卡车,以物易物adj.<主美>运货汽车的"
plate,"n.盘子,金属板,图版,金银餐具vt.镀(金,银等),电镀,给...装钢板"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
belt,"n.带子,地带"
loom,"n.织布机,织机v.隐现,迫近"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
string,"n.线,细绳,一串,一行v.排成一列"
tap,"n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
instrument,"n.工具,手段,器械,器具,手段"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
purse,n.钱包
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
telescope,n.望远镜v.压缩
petrol,n.<英>汽油(=<美>gasoline)
ladder,"n.梯子,阶梯vi.袜子抽丝,装设梯子"
kit,"n.成套工具,用具包,工具箱,成套用具"
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地"
round,"n.圆,圆形物,巡回,一轮;adj.圆的,丰满的,大概的,完全的,率直的;prep.围着,附近,绕过,在...周围;vt.弄圆,使成圆形,绕行,完成,四舍五入vi.变圆,发胖,环行,拐弯,进展;adv.围绕着,循环地,在周围,迂回地,朝反方向,挨个"
dome,n.圆屋顶
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
globe,"n.球体,地球仪,地球,世界"
palace,"n.宫,宫殿"
housing,"n.供给住宅,住宅群,机架,住房供给"
harbor,n.海港
dwelling,n.住处
laboratory,n.实验室
platform,"n.(车站)月台,讲台,讲坛 平台"
dam,"n.水坝,障碍v.控制,筑坝"
pyramid,"n.角锥、棱椎,金字塔,叠罗汉v.(使)成金字塔状,(使)渐增,(使)上涨"
shore,"n.岸,海滨,支撑柱vt.支撑,支持"
clinic,"n.门诊部,临床"
chamber,"n.室,房间,议院,会所,(枪)膛"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
muscle,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
eyebrow,n.眉毛
beard,n.胡须
costume,"n.装束,服装"
garment,"n.衣服,外衣,外表"
helmet,"n.头盔,钢盔"
sandal,"n.凉鞋,檀香,便鞋v.穿上便鞋"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
presence,"n.出席,到场,存在"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
modern,"n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的"
modernize,v.使现代化
meanwhile," (=meantime)n.其间,其时;adv.其间"
hitherto,"adv.迄今,至今"
period,"n.时期,学时,节,句点,周期,(妇女的)经期adj.过去某段时期的int.没有了"
term,"n.学期,期限,期间,条款,条件,术语"
generation,"n.产生,发生,一代,一代人"
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行"
era,"n.时代,纪元,时期,[地]代"
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字"
millennium,"n.太平盛世,一千年"
transient,"adj.短暂的,瞬时的n.瞬时现象"
phase,"n.阶段,状态,相,相位v.定相"
following,"n.下列各项,部下,党羽adj.下列的,其次的 prep.在...之后"
series,"n.连续,系列,丛书,级数"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
prolong,"vt.延长,拖延"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
sequence,"n.次序,顺序,序列"
subsequent,"adj.后来的,并发的"
alphabetically,adv.按字母顺序地
alphabet,n.字母表
alphabetism,
previous,"adj.在前的,早先的adv.在...以前 返回上一级菜单"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
formerly,"adv.从前,以前,原来"
historical,"adj.历史(上)的,有关历史的"
historian,"n.历史学家,史家"
historic,"adj.历史上著名的,有历史性的"
prehistoric,"adj.史前的,陈旧的"
outdated,"adj.过时的,不流行的"
preceding,"adj.在前的,前述的"
recording,"adj.记录的,记录用的n.录音带,唱片"
version,"n.译文,译本,翻译"
annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
curriculum,n.课程
senior,"adj.年长的,资格较老的,地位较高的,高级的"
ancient,"adj.远古的,旧的"
aging,"n.老化,成熟的过程v.使变老"
elderly,"adj.过了中年的,稍老的"
temporary,"adj.暂时的,临时的,临时性"
standstill,"n.停止,停顿"
suspend,"vt.吊,悬挂v.延缓"
suspension,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
permanent,"adj.永久的,持久的"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
persistent,adj.持久稳固的
persist,"vi.坚持,持续"
chronic,"adj.慢性的,延续很长的"
continuous,"adj.连续的,持续的"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
perpetuate,"vt.使永存,使不朽"
adulthood,n.成人期
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
infancy,n.幼年
teen,"n.悲哀,不幸,愤怒vt.激怒,使烦恼vi.烦躁,伤心"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
colleague,"n.同事,同僚"
acquaintance,"n.相识,熟人"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
chairman,"n.主席,会长"
president,"n.总统,会长,校长,行长"
presidential,adj.总统的
minister,"n.部长,大臣"
governor,"n.统治者,管理者,地方长官,主管人员"
govern,"v.统治,支配,管理"
governance,"n.统治,管理,统辖"
chancellor,"n.长官,大臣"
vice,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷vt.钳住 prep.代替"
schooling,"n.学校教育,学费"
scholar,n.学者
scholarly,"adj.学者气质的,学者风度的"
academic,"adj.学院的,理论的"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的"
bachelor,"n.单身汉,文理学士,幼雄兽"
doctoral,adj.博士的
crowd,"n.人群,群众,一堆(东西),一伙v.群集,拥挤,挤满"
overcrowded,
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
audience,"n.听众,观众,接见,拜见"
folk,"n.人们,亲属(复数),民族adj.民间的"
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
military,"adj.军事的,军用的"
committee,n.委员会
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
personnel,"n.人员,职员"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
assembly,"n.集合,装配,集会,集结,汇编"
assemble,"vt.集合,聚集,装配vi.集合"
candidate,"n.候选人,投考者"
native,"n.本地人,土产,土人adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的"
victim,"n.受害人,牺牲者,牺牲品"
participant,"n.参与者,共享者adj.参与的"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
outsider,n.无取胜希望者
applicant,"n.申请者,请求者"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
disguise,"v.假装,伪装,掩饰n.伪装"
readership,"n.读者的身分,读者人数"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
servant,n.仆人
profession,"n.职业,专业,表白,宣布"
professionalism,"n.专家的地位,特性或方法,专业主义"
post,
secretary,"n.秘书,书记,部长,大臣"
analyst,"n.分析家,分解者"
analytical,"adj.分析的,解析的"
workforce,
physician,"n.医师,内科医师"
athlete,"n.运动员,运动选手"
stylist,"n.自成流派者,文体家,设计师"
stylish,"adj.时髦的,漂亮的,流行的"
conductor,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
knight,"n.(欧洲中世纪的)骑士,爵士,武士vt.授以爵位"
anchor,"n.锚v.抛锚,锚定"
auditor,"n.计员,核数师"
steward,"n.(轮船,飞机等)乘务员,干事"
consultant,"n.顾问,商议者,咨询者"
parental,"adj.父母亲的,做双亲的"
parenthood,"n.父母身份,亲子关系"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
spouse,n.配偶(指夫或妻)
ancestor,"n.祖先,祖宗"
ancestry,"n.祖先(集合称),家系,血统"
kinship,n.血族关系
offspring,"n.(单复数同形)儿女,子孙,后代,产物"
paternal,"adj.父亲的,象父亲的"
descendant,"n.子孙,后裔,后代"
resident,"n.居民adj.居住的,常驻的"
residence,"n.居住,住处"
inhabitant,"n.居民,居住者"
townsfolk,"n.市民,市镇居民"
settler,"n.移民者,殖民者,[律]财产赠予者,托管财产者"
settle,"n.有背的长凳vt.安放,使定居,安排,解决,决定,整理,支付,使平静vi.安家,定居,停留,下陷,沉淀,决定,澄清"
settlement,"n.沉降,解决,结算,殖民,殖民地"
bottom,"n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
ultimately,"adv.最后,终于,根本,基本上"
forth,"adv.往前,向外"
priority,"n.先,前,优先,优先权"
prior,"adj.优先的,在前的n.预先adv.在"
precede,"v.领先(于),在...之前,先于"
predecessor,"n.前辈,前任,(被取代的)原有事物"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
below," prep.在...下面,adv.在下,在页底"
underlying,"adj.在下面的,根本的,潜在的,[商]优先的"
underlie,"vt.位于...之下,成为...的基础"
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
downside,"n.底侧,下降趋势adj.底侧的"
ocean,"n.大海,海洋,许多,广阔"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
continent,"n.大陆,陆地"
continental,"adj.大陆的,大陆性的n.欧洲人"
stream,"n.溪,川,流,一股,一串,河流v.流,涌,流注"
volcano,n.火山
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
bay,"n.海湾,狗吠声,绝路vt.吠,使走投无路vi.吠"
coast,"n.海岸,滑坡v.沿海岸而行"
inner,"adj.内部的,里面的,内心的n.内部"
internal,"adj.内在的,国内的"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
inherent,"adj.固有的,内在的,与生俱来的"
innate,"adj.先天的,天生的"
interior,"adj.内部的,内的n.内部"
intrinsic,
planet,n.[天]行星
gravity,"n.地心引力,重力"
cosmic,adj.宇宙的
cosmos, 宇宙
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
sexual,"adj.性的,性别的,[生]有性的"
gender,"n.[语法] 性,<口>性别,性,性交"
creature,"n.人,动物,傀儡,创造物"
hormone,"n.荷尔蒙,激素"
organic,"adj.器官的,有机的,组织的,建制的"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
organism,"n.生物体,有机体"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
neural,"adj.神经系统的,神经中枢的,背的"
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
shrink,"v.收缩,(使)皱缩,缩短"
circulation,"n.循环,流通,发行额"
surround,"vt.包围,环境v.围绕"
surroundings,n.环境
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
roundabout,"adj.迂回的,转弯抹角的n.道路交叉处的环形路,迂回路线,兜圈子的话"
encompass,"v.包围,环绕,包含或包括某事物"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
boundary,"n.边界,分界线"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
storm,
climate,"n.气候,风土,思潮"
tide,"n.潮,潮汐,潮流,趋势"
dawn,"n.黎明,拂晓,破晓vi.破晓,开始现生,变得(为人所)明白v.破晓 Dawn 道恩(女子名)"
halo,"n.(日月周围的)晕轮,光环,荣光vt.使有晕轮,围以光环vi.成晕轮"
haze,"n.薄雾,疑惑,阴霾vt.使变朦胧,使变糊涂,使劳累vi.变朦胧,变糊涂"
protein,n.[生化]蛋白质adj.蛋白质的
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
molecular,"adj.[化]分子的,由分子组成的"
silicon,"n.[化]硅,硅元素"
a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
ability,"n.能力,才干"
able,"adj.能...的,有才能的,能干的,能够的"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
acceptable,"adj.可接受的,合意的"
acceptance,"n.接受,承诺,容忍,赞同,相信"
according,adv.依照
achieve,"vt.完成,达到"
achievement,"n.成就,功绩"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
action,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉"
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
actor,"n.男演员,行动者,参与者"
actress,n.女演员
actual,"adj.实际的,真实的,现行的,目前的"
actually,"adv.实际上,事实上,竟然,居然,如今"
ad,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD) 公元 (Anno Domini)"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
addition,"n.加,加起来,增加物,增加,加法"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adjust,"vt.调整,调节,校准,使适合"
admire,"v.赞美,钦佩,羡慕"
adult,"n.成人,成年人adj.成人的,成熟的"
advantage,"n.优势,有利条件,利益"
advice,"n.忠告,建议,[商]通知"
advise,"vt.劝告,忠告,警告,建议"
affect,"vt.影响,感动,侵袭,假装"
afford,"vt.提供,给予,供应得起,"
affordable,
Africa,
after,"adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的"
afternoon,"n.午后,下午adv.下午的,晚期"
again,"adv.又,再次,此外,再一次"
against," prep.相反,反对,逆着,靠着,倚着"
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟"
ago,"adv.以前的,以往的"
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agreement,"n.同意,一致,协定,协议"
ahead,"adj.adv.在前,向前,提前,在前面"
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
air,"n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示"
air-conditioning,
airline,n.定期航线
airplane,n.飞机
airport,"n.<主美>小型民用机场,私人飞机降落场"
album,"n.集邮本,照相簿,签名纪念册"
alcohol,"n.酒精,酒"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
alive,"adj.活着的,活泼的"
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部"
allow,"vt.允许,承认"
almost,"adv.几乎,差不多"
alone,"adj.单独的,独一无二的,孤独的,独自的adv.独自地"
along,"adv.往前,向前 prep.顺着,沿着"
aloud,adv.大声地
already,adv.已经
also,"adv.也,同样"
although," conj.虽然,尽管"
always,"adv.总是,永远,始终"
am,"prep.是,在n.A.M.上午,午前 [域] Armenia ,亚美尼亚 [军] Amplitude Modulation,调幅 (AM) 调幅 (amplitude modulation)"
amaze,vt.使吃惊
amazing,adj.令人惊异的
America,
American,
among," prep.在...之中,...之一"
amount,"n.数量vi.(to) 总计,等于"
an," art.一(在元音字母前代替不定代词a) [域] Netherlands Antilles ,荷兰属地"
analysis,"n.分析,分解"
analyze,"vt.分析,分解"
and," conj.和,及,并,然后,接着又 /conj.及(或)"
angel,"n.天使,完善可爱的人"
animal,n.动物
annoy,"vt.使苦恼,骚扰"
annoyed,
another,"adj.另外的,又一,不同的 prep.另一个,另一个人,同类的东西"
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应"
ant,
anxious,"adj.观念的,担忧的,渴望的,盼望的"
any,"adj.任何的,任何一种,所有的 pron.无论那一个,任何"
anybody," pron.任何人,重要人物"
anyone, pron.任何一个
anything, pron.任何事
anyway,"adv.无论如何,总之"
anywhere,adv.无论何处
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
appearance,"n.出现,露面,外貌,外观"
apple,"n.苹果,似苹果的果实"
apply,"vt.申请,应用vi.申请,适用"
April,
are," prep.是,在,公亩"
area,"n.范围,区域,面积,地区,空地"
argue,"vi.争论,辩论vt.说服"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
arrangement,"n.排列,安排"
arrival,"n.到来,到达,到达者"
arrive,"vi.到达,抵达"
art,"n.艺术,艺术品,技术,巧妙,美术"
artist,"n.艺术家,画家"
artistic,"adj.艺术的,有美感的,风雅的"
as,"adv.同样地,被看作,象 prep.当做 conj.与...一样,当...之时,象,因为 [域] American Samoa,东萨摩亚 [军] Air to Surface,空对地 (As)symb [化]砷 (arsenic)"
Asia,
aside,"adv.在旁边,到旁边"
ask,"vi.询问,问,要求vt.问,要求,需要,邀请"
assistance,"n.协助,援助,补助,<英>国家补助"
at," prep.在,于,向,对准,在...方面;Austria,奥地利"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
attitude,"n.姿势,态度,看法,意见"
attract,"vt.吸引vi.有吸引力,引起注意"
attraction,"n.吸引,吸引力,吸引人的事物"
attractive,"adj.吸引人的,有魅力的"
August,
aunt,"n.姑妈,伯母,舅妈,阿姨"
author,"n.作家,创造者"
autumn,"n.秋天,成熟期,渐衰期"
average,"n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出"
avoid,"vt.避免,消除"
award,"n.奖,奖品vt.授予,判给"
aware,"adj.知道的,明白的,意识到的"
away,"adv.在远处,到远处,离去"
baby,n.婴孩
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
backyard,"n.后院,后庭,<美>(住宅的)场院"
bad,"adj.劣质的,有害的,坏的,不利的,不健康的,严重的"
badly,"adv.严重地,恶劣地"
bag,"n.袋子,猎获物"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
ball,"n.球,球状物,子弹,舞会,尽情地玩"
balloon,n.气球
ban,"n.禁令vt.禁止,取缔(书刊等)"
banana,n.香蕉
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
banker,n.银行家
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
barbecue,n.吃烤烧肉的野餐
baseball,"n.棒球,棒球运动"
basic,
basket,"n.篮,一篮"
basketball,"n.篮球,篮球运动"
bath,"n.沐浴,浴室"
bathroom,"n.浴室,盥洗室"
battery,"n.电池,殴打"
battle,"n.战役(指大规模会战),战争vi.作战,战斗,搏斗,斗争"
be," prep.是,在,存在 [域] Belgium ,比利时 [军] Base Ejection,弹底喷射 symb [化]铍 Be(beryllium)"
beach,n.海滩
bean,"n.豆,豆形果实"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
beautiful,"adj.美丽的,很好的"
beauty,"n.美,美景,美好的东西"
because, conj.adv.因为
become,"vi.变成,成为,变得vt.适合,相称"
bed,"n.床,基础,路基,河底,海底,一堆,一层vt.安置,嵌入,使睡,栽种vi.上床,分层  教育学士 BEd(Bachelor of Education)"
bee,
beef,n.牛肉
beer,n.啤酒
before,"adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可"
beg,"v.请求,乞求"
begin,"v.开始,首先"
beginning,n.开始
behave,"vi.举动,举止,运转v.行为表现"
behind,adv.在后地 prep.在...之后
being,"n.存在,生命,人,本质 art.在,有,是"
belief,"n.信任,信心,信仰"
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
bell,"n.铃,钟"
belong,"vi.属于,住"
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
besides,adv.此外 prep.除...之外
best,"adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西"
better,"adj.较好的adv.更好的,更多的,更佳的"
