arroyo,"n. 干涸沟壑, 旱谷, 小河"
gourmet,n. 美食家
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
guru,"n. 古鲁(印度教导师)
[医] 柯拉子"
gusher,"[经] 喷油井, 自喷井"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
hedonist,"n. 快乐主义者, 享乐主义者"
heir,"n. 继承人, 嗣子, 后嗣
[法] 继承人, 后嗣"
heretic,"n. 异教徒, 异端者"
applicant,"n. 申请者
[经] 申请人, 请求人, 谋事人"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
consul,"n. 领事, 执政官
[经] 领事"
entourage,"n. 全体随行人员, 陪同人员"
piscatorial,"a. 渔业的, 渔民的"
veterinary,"a. 兽医的
n. 兽医"
counselor,"n. 顾问, 参事, 法律顾问"
ghostwriter,n. 为人代写的作者
observant,"a. 严格遵守...的, 留心的, 当心的, 观察力敏锐的, 注意观察的
[法] 注意的, 留心的, 严格遵守的"
theologian,n. 神学者
hermit,"n. 隐士, 隐居者"
highbrow,额头高的
huckster,"n. 小商人, 叫卖的小贩, 吃广告饭的人
vt. 贩卖, 叫卖, 还价
vi. 叫卖, 讨价还价"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
[计] NetWare的主机实用程序, 双重用户建立程序"
hypocrite,"n. 伪君子, 伪善者"
iconoclast,"n. 反对偶象崇拜者, 提倡打破旧习的人"
idolater,"n. 偶像崇拜者, 崇拜者, 皈依者"
illuminati,n. 先觉者
imp,"n. 顽童
vt. 加强, 给...装上翅膀
[计] 图象处理程序, 接口信息处理器"
impostor,"n. 冒名顶替者, 骗子, 冒牌"
impresario,"n. 演出者, 主持人"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infantry,"n. 步兵, 步兵团"
ingenue,"n. 天真无邪的姑娘, 扮演天真姑娘的女演员"
ingrate,"n. 忘恩者
a. 不知恩的, 忘恩的"
inhabitant,"n. 居民, 居住者
[医] 居民"
insider,"n. 内部的人, 权威人士, 知道内情的人
[经] 熟悉内情者"
instrumentalist,n. 工具主义者；乐器演奏家
intercessor,"n. 仲裁者, 调解人
[法] 调解人, 说情者, 从中调解者"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
intern,"n. 实习生，实习医师
vt. 拘留，软禁
vi. 作实习医师"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
jockey,"n. 赛马骑师, 驾驶员, 操作工
vt. 骗, 瞒, 驾驶, 移动
vi. 当赛马的骑师"
killjoy,n. 令人扫兴的人；煞风景
kin,"suf. 表示小：lambkin, princekin; [构成姓氏]：Peterkin"
knave,"n. 恶棍, 骗徒, (纸牌的)杰克
[法] 流氓行为, 无赖, 恶棍"
laity,"n. 俗人, 外行
[医] 外行[人]"
lexicographer,n. 辞典编纂者
libertine,"n. 放荡者, 玩乐者, 浪子, 自由思想家
a. 放荡的"
literati,n. 文人（literatus的复数）；文学界
loon,"n. 懒人, 潜鸟, 笨蛋"
lumberjack,木材上垛装置
luminary,"n. 发光体, 杰出人物"
lunatic,"n. 疯人, 癫狂者, 愚蠢的人
a. 疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的"
magnate,"n. 大官, 巨头
[法] 大官, 权贵, 大资本家"
magpie,"n. 鹊, 珍种家鸽, 饶舌的人
a. 鹊的, 有收集癖的"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
mason,"n. 泥瓦匠, 共济会会员
vt. 用砖瓦砌成"
mate,abbr. Materials Engineer 材料工程师
maven,"n. 内行, 专家"
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
mentor,门托(美国俄亥俄州东北部城市)
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
minion,"n. 奴才, 宠臣"
misanthrope,"n. 厌恶人类的人, 不愿与人来往者"
miscreant,"a. 邪恶的, 邪道的, 异端的
n. 罪大恶极的人, 恶棍, 异端"
miser,"n. 守财奴, 吝啬鬼, (石油工程上用的)锥钻头"
mogul,"n. 大人物, 有权势的人"
mollycoddle,"vt. 溺爱；纵容
n. 女性化的男人；懦夫"
monarch,"n. 帝王, 统治者, 元首
[医] 单原型(植)"
musicologist,n. 音乐学者
mutineer,"n. 暴徒, 反抗者
vi. 暴动, 反抗"
mystic,"a. 神秘的, 奥秘的
n. 神秘主义者"
narcissist,n. 自我陶醉者
neophyte,"n. 新入教者, 新信徒"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
nonentity,n. 不存在；虚无；无足轻重的人
novice,"n. 新手, 初学者"
numismatist,n. 钱币(或奖章)收藏家
octogenarian,"a. 80岁到90岁(的人)的
n. 80岁到90岁的人"
offspring, 后代
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
optimist,"n. 乐观者, 乐观主义者"
oracle,"n. 神谕, 神谕处, 预言"
ostrich,n. 鸵鸟
pacifist,"n. 和平主义者, 反战论者, 不抵抗主义者"
pagan,"n. 异教徒, 无宗教信仰者
a. 异教的, 异教徒的"
pariah,"n. 贱民(印度的最低阶级), 被放逐者"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
patrician,"n. 贵族, 有教养的人
a. 贵族的, 显贵的"
patriot,"n. 爱国者, 爱国主义者"
pauper,"n. 贫民, 靠救济度日者, 穷人, 乞丐
[法] 贫民, 穷人"
pedagogue,"n. 小学教师, 教员, 学究"
pedant,"n. 自夸学问的人, 空谈家, 书呆子"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
percussionist,"n. 敲击乐器演奏者, 敲奏打击乐器的人"
personnel,"n. 人员, 人事部门, 人事科(处)
[经] 人事, 全体人员, 职工"
petitioner,"n. 请愿人, 诉愿人, (离婚案)原告
[法] 诉愿人, 上诉人, 请愿人"
philatelist,n. 集邮家
philistine,"n. 庸人, 门外汉, 仇敌, 俗气的人
a. 俗气的, 无教养的"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
[计] 引导"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
plumber,"n. 水管工人
[法] 堵漏防漏人员"
pollster,"n. 民意调查人, 民意测验经办人"
populace,"n. 平民, 大众, 人口"
poseur,n. 装模作样的人；装腔作势的人
potentate,"n. 有权的人, 有势力的人, 统治者"
practitioner,"n. 从业者, 开业者
[医] 行医者, 医师"
predecessor,"n. 前任, 先辈, 前身
[医] 初牙, 前辈, 祖先"
presenter,"n. 节目主持人, 奉献者, 提出者
[法] 告发者, 提出者, 推荐者"
proctor,"n. 代理人, 监考人, 代诉人
[法] 代理人, 代诉人, 监督人"
prodigal,"n. 浪费者
a. 浪费的, 挥霍的, 丰富的"
profiteer,"n. 获暴利的人, 奸商
vi. 获暴利, 赚大钱"
profligate,"a. 放荡的, 不检点的, 浪费的
n. 放荡者, 享乐者"
progeny,"n. 子孙, 后裔, 成果
[医] 后代, 后裔"
prophet,"n. 预言者, 先知, 提倡者"
protagonist,"n. 主人公, 主角, 领导者"
prude,"n. 拘守礼仪的人, 故作正经的人"
pugilist,n. 拳击手
pundit,"n. 学者, 梵文学者, 博学的印度人, 权威"
quack,"n. 鸭叫声, 冒牌医生, 冒充内行之人
a. 冒牌医生的
v. 嘎嘎叫, 当冒牌医生, 夸大广告"
quisling,"n. 卖国贼
[法] 卖国贼, 内奸, 通敌分子"
rabble,"n. 乌合之众, 暴民, 下层社会, 长柄耙
vt. 聚众闹事, 用拨火棍搅动"
raconteur,"n. 说书者, 擅长讲故事的人, 健谈者"
ranger,"n. 王室守林人, 骑警, 漫游者"
reaper,"n. 收割者, 收割机"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
recluse,"a. 隐遁的, 偏僻的
n. 隐遁者, 遁世者"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
refugee,"n. 难民, 流亡者
[法] 避难者, 流亡者, 难民"
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
retainer,"n. 家臣, 侍从, 保持者
[化] 保持器; 定位器; 隔栅; 隔环; 护圈; 止动器; 止动装置"
retinue,"n. 随行人员, 侍从们"
rider,"n. 骑手；附文；扶手
n. (Rider)人名；(英)赖德；(西)里德尔"
rival,"n. 对手, 竞争者
a. 竞争的"
rookie,n. 新手
rudder,"n. 舵, 方向舵, 指导原则"
ruffian,"n. 恶棍, 无赖
a. 凶恶的, 残忍的, 残暴的"
saboteur,"n. 从事破坏活动者, 阴谋破坏者
[法] 破坏者, 破坏份子, 怠工者"
savant,"n. 学者, 专家"
scion,"n. 接穗, 子孙
[医] 嫩枝, 接穗"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
sculptor,n. 雕刻家
sentinel,"n. 哨兵, 标记
vt. 警戒, 守卫
[计] 标记"
servitude,"n. 奴隶状态, 惩役, 地役权
[法] 苦役, 劳役, 奴役"
sheriff,"n. 郡治安官, 县治安官
[法] 司法行政官, 郡长, 执行吏"
sibling,"n. 兄弟, 同胞
[医] 同胞(兄弟姐妹)"
sibyl,"n. 女巫, 女算命者, 女预言家"
silversmith,[网络] 银匠；把银子打成银叶或银箔的人；匠银色
simpleton,"n. 笨蛋, 傻子"
forebear,n. 祖先；祖宗
freebooter,"n. 海盗
[法] 海盗, 强盗"
hireling,"n. 雇工, 可被雇用者, 佣工, 雇员
a. 被雇用的"
hothead,n. 性急的人；鲁莽的人
inamorata,"n. 情人, 姘妇
[法] 姘妇, 情妇"
ingénue,无
intelligentsia,n. 知识界
masochist,"n. 被虐待狂, 受虐待者
[医] 受虐狂者"
misogynist,n. 厌恶女人的人
opportunist,"n. 机会主义者, 投机取巧者"
optician,"n. 光学仪器商, 眼镜商, 光学仪器制造厂
[医] 眼镜师"
optometrist,"n. 验光师, 配镜师
[医] 验光师"
padre,"n. 神父, 随军牧师"
paramour,"n. 情夫, 情妇, 情人
[法] 奸夫, 奸妇"
pharisee,"n. 伪君子, 伪善者"
prelate,n. 高级教士
proxy,"n. 代理, 代理人, 委托书
[经] 代理人, 代表权, 授权书"
purveyor,"n. 承办伙食者, 承办商人, 征发官员"
rank-and-file,无
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
shrew,"n. 泼妇
[法] 捍妇, 泼妇"
skinflint,n. 吝啬鬼
sluggard,"n. 偷懒者, 游手好闲的人, 懒鬼"
spectator,"n. 观众, 目击者, 旁观者"
spendthrift,"n. 浪费的人
a. 浪费的, 挥霍无度的"
stickler,"n. 坚持要求某种品质的人, 坚持要求一丝不苟者, 难题, 费解的事物"
stoic,"a. 斯多葛派的, 禁欲主义的, 不以苦乐为意的, 坚忍的, 淡泊的
n. 斯多葛派学者, 画廊派的人, 禁欲主义者, 不介意苦乐的人, 高度自制的人"
stowaway,偷乘
subject,[网络] 主体；对象；主题
suffragist,"n. 参政权扩大论者, 妇女参政权论者"
supplicant,"[法] 恳求者, 哀求者; 恳求, 哀求, 祈求"
surgeon,"n. 外科医生, 军医, 船医
[医] 外科医师"
surveyor,n. 测量员；检验员
sybarite,"n. 爱奢侈享乐的人, 奢侈逸乐之徒, 骄奢淫逸的人"
sycophant,"n. 奉承者, 谄媚者, 追随者
a. 拍马的, 奉承的"
taxonomist,n. 分类学家
technocrat,"n. 技术专家治国论者, 技术专家统治论者"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
[计] 占据者"
tenor,[网络] 语旨
testator,n. 立遗嘱者
tinker,"n. 补锅匠, 会做各种修补活计的人
vi. 做焊锅匠, 笨拙的修补
vt. 修补"
toady,"n. 谄媚者, 马屁精
v. 谄媚, 拍马屁"
traitor,"n. 叛逆者, 叛国者
[法] 叛徒, 叛逆, 背信者"
turncoat,[网络] 叛徒
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
tyrant,"n. 暴君
[法] 专制君主, 暴君, 压制他人者"
tyro,"n. 初学者, 生手, 新手"
underdog,"斗输的狗;失败者,受压迫者"
underling,"n. 部下, 下手, 下属"
understudy,在研究中
vagrant,"n. 流浪汉, 漂泊者, 无赖
a. 漂泊的, 流浪的, 游荡的"
waif,"n. 无家可归者, 无主物, 飘流物, 流浪者, 信号旗"
vendor,"n. 小贩, 卖主, 自动售货机
[计] 计算机销售商"
ventriloquist,n. 口技艺人
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
vicar,"n. 教区牧师, 教堂主持, 代理人
[法] 代表, 代理牧师, 代理主教"
vintner,n. 酒商
virtuoso,n. 艺术品鉴赏家
vocalist,"n. 声乐家, 歌手"
votary,"n. (天主教)立誓献身者, 崇拜者, 支持者, 信徒"
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
wastrel,"n. 浪费者, 饭桶, 浪子, 废品, 流浪者"
windbag,〈美俚〉夸夸其谈的人;多话的人
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
wrangler,"n. 口角者, 争论者, 牧人"
xenophobe,"n. 畏惧和憎恨外国人的人
[法] 仇视外国人, 恐惧外国人者, 害怕生人者"
yokel,"n. (贬)乡巴佬, 土包子, 乡下佬"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
archer,"n. 弓箭手, 射箭运动员"
aristocrat,n. 贵族
artisan,"n. 工匠, 技工
[经] 熟练技术工, 匠人"
baron,[网络] 巴昂；巴翁
bather,"n. 入浴者, 游泳者"
bohemian,"n. 波希米亚人, 波希米亚语, 放浪者
a. 波希米亚人的, 放浪的, 波希米亚语的"
celibate,"n. 独身者, 独身主义者
a. 独身的, 独身主义的"
cineaste,"n. 电影爱好者, 电影制作人员"
confidant,"n. 心腹朋友, 知己"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
dabbler,"n. 戏水者, 浅尝者"
dastard,"n. 懦夫, 卑鄙的人
a. 怯懦的"
daubster,n. 拙劣的画匠
desperado,"n. 亡命之徒
[法] 亡命之徒, 暴徒"
dictator,"n. 命令者, 独裁者"
electorate,"n. 选民, 有选举权者, 选区
[法] 选民, 选举团, 选区"
equestrian,"a. 骑术的, 马的, 骑在马背上的
n. 骑手"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
fag,"n. 苦工；疲劳
vt. 使劳累
vi. 努力地工作"
fop,[网络] 指深屈肌
forebear,n. 祖先；祖宗
fury,"n. 愤怒, 狂暴, 狂怒的人
[医] 狂乱, 狂暴, 狂怒"
gnome,"n. 格言, 箴言, 侏儒, 土地神"
greenhorn,新手；菜鸟
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
hawker,"n. 饲鹰者, 以鹰行猎者, 叫卖小贩
[经] 推车叫卖小贩"
helot,"n. 希洛人(古斯巴达奴隶), 奴隶, 农奴"
herdsman,"n. 牧人, 牧主"
howler,"n. 咆哮者, 号哭的人
[电] 啸鸣电路"
imbecile,"a. 低能的, 愚钝的, 虚弱的
n. 低能者, 痴呆, 蠢人"
informer,"n. 密告者, 控告者, 通知者
[法] 控告人, 通知者, 告密者"
interlocutor,n. 对话者；谈话者
interloper,"n. 闯入者, 好事者, 无执照营业者
[经] 无执照营业者, 私商"
lackey,"n. 仆人, 侍从, 马屁精
vt. 服侍, 侍候, 奉承"
laggard,"n. 迟钝者, 落后者
a. 迟钝的, 落后的"
lapidary,"n. 宝石工艺匠, 宝石鉴定家
a. 宝石雕刻的, 宝石的"
layman,"n. 外行；门外汉；俗人；一般信徒
n. (Layman)人名；(英)莱曼"
lout,"n. 蠢人
vt. 愚弄
vi. 屈服"
maestro,"n. 音乐大师, 大音乐家"
mariner,n. 水手
matador,n. 斗牛士
megalomania,"n. 夸大狂
[医] 夸大狂"
menial,"a. 适合仆人做的, 卑微的
n. 仆人"
midget,"n. 侏儒
a. 小型的"
mountebank,n. 江湖医生；骗子
multitude,"n. 多数, 群众"
naysayer,[网络] 谔谔之人
neonate,"n. 婴儿
[医] 新生儿; 新生的"
niggard,"n. 吝啬鬼
a. 吝啬的, 小气的"
nonesuch,"n. 无以匹敌的人, 无与伦比的事物"
nonpareil,"adj. 无与伦比的,无双的"
nude,"a. 裸的, 肉色的, 无装饰的
n. 裸体画, 裸体"
nymph,"n. 居于山林水泽的仙女, 蛹, 美丽的少女
[医] 稚虫, 若虫, 蝻"
pastor,n. 牧师
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
personage,"n. 重要人士, 显要, 名士, 人物, 角色"
pesky,"a. 麻烦的, 恼人的, 棘手的, 讨厌的"
plebeian,"n. 平民, 庶民, 大众, 平庸的人
a. 平民的, 一般的, 普通的, 粗俗的"
poltroon,"n. 懦夫, 胆小鬼
a. 胆怯的"
polyglot,"a. (使用)多种语言的, 多种文字对照的
n. 使用多种语言的人, 多种文字对照本"
polymath,n. 博学者
prig,"n. 一本正经的人, 纨绔子弟"
progenitor,"n. 祖先, 先辈, 原本
[医] 祖先, 祖代"
pygmy,"n. 矮人, 侏儒
a. 矮小的"
pyromania,"n. 放火狂
[医] 放火狂"
racketeer,"n. 敲诈者, 骗子
v. 诈骗钱财"
rapscallion,"n. 流氓, 恶棍"
regent,"n. 摄政者, 摄政王
a. 摄政的"
riffraff,"n. 贱民；不三不四的下等人
[网络] 痞子；底层生活；里夫·拉菲"
ruck,"vt. 弄皱
vi. 变皱
n. 皱, 一群"
sentry,"n. 哨兵, 看守
vt. 设岗哨
vi. 站岗, 放哨"
sequela,"n. 结果, 后遗症
[医] 后遗症, 后发病, 遗患"
shipwright,"n. 造船工人，造船木匠
n. (Shipwright)人名；(英)希普赖特"
signatory,"n. 协议的签署者, 签约国
a. 签署的, 签约的"
sloven,"n. 懒散的人, 散漫的人"
snob,"n. 势利的人, 假内行"
thrall,"n. 奴隶, 束缚, 奴役"
treasurer,"n. 会计, 出纳员, 司库
[经] 司库, 财务主任, 财政大臣"
truant,"n. 懒惰的人, 玩忽职守者, 旷课者
a. 偷懒的, 旷课的, 游荡的
vi. 偷懒, 旷课"
tycoon,"n. 企业界大亨, 将军
[经] 企业界巨头, 企业家"
upstart,"n. 新贵, 暴发户, 自命不凡者
a. 暴富的"
urchin,"n. 淘气鬼, 顽童"
vagabond,"n. 流浪者, 浪子, 流氓
vi. 到处流浪
a. 流浪的, 漂泊的, 浪荡的, 流浪者的"
valetudinarian,"a. 有病的, 虚弱的, 过分担心健康的
n. 病弱的人, 过分担心健康的人"
vanguard,"n. 前锋, 先锋, 先驱"
versemonger,n. 拙劣诗人
virago,"n. 泼妇, 悍妇"
warden,"n. 典狱官, 渔猎法监督官, 看守人
[法] 看守人, 监护人, 管理员"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
wraith,"n. 生魂, 幻影, 幽灵"
yeoman,"n. 自由民, 自耕农
[法] 小地主, 自耕农, 自由民"
shyster,"n. 讼棍
[法] 奸诈的律师, 讼棍, 不择手段的人"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
[经] 募损者, 律师"
somnambulist,"n. 梦行者, 梦游者
[医] 梦行者"
soothsayer,"n. 预言者, 占卜者, 预测未来者, 螳螂"
supernumerary,"a. 额外的, 多余的
n. 跑龙套的角色, 杂工, 临时演员, 多余的人/物, 冗员"
ichthyologist,"n. 鱼类学者, 鱼类研究者"
illiteracy,"n. 文盲, 无知"
liberalist,n. 自由主义者
martinet,n. 严格执行纪律的人
pachyderm,"n. 厚皮类动物, 迟钝的人, 脸皮厚的人"
proponent,"n. 建议者, 支持者
[法] 提议者, 辩护者, 支持者"
skeptic,"n. 怀疑者, 怀疑论者, 不可知论者"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
philanthropist,"n. 慈善家, 博爱主义者, 乐善好施的人
[法] 慈善家, 博爱主义者"
sleeper,"n. 睡眠者, 枕木, 卧铺
[法] 睡眠者, 懒人, 死人"
mathematician,n. 数学家
patron,"n. 赞助人, 顾客, 保护人
[法] 保护人, 庇护人, 赞助人"
plodder,"n. 沉重行走的人, 辛勤工作的人, 做事慢条斯理不开动脑筋的人"
professional,"n. 专业人才
a. 专业的, 职业的"
crone,"n. 干瘪老太婆, 老母羊"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
incandescent,"a. 白热的, 闪闪发光的, 辉耀的, 灿烂的
[医] 白炽的, 白热的"
illumination,"n. 照明, 阐明, 启发
[医] 照明, 映光"
bask,"vi. 晒太阳, 感到舒适"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
[计] 束"
clairvoyant,"a. 神视的, 有洞察力的
n. 有洞察力的人, 千里眼"
coruscate,"vi. 闪烁, 熠熠生辉, 焕发"
crepuscular,"a. 微光的, 黄昏的, 拂晓的
[医] 黄昏的, 朦胧的"
diaphanous,"a. 透明的, 轻柔的"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
[计] 数据解释模块"
effulgent,a. 光辉灿烂的
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
[化] 放射"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flicker,"n. 闪烁, 闪光, 颤动
vi. 闪动, 闪烁, 摇动, 扑动翅膀
vt. 使摇曳, 使闪烁"
fluorescent,"n. 荧光
a. 荧光的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
glossy,"a. 平滑的, 有光泽的"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
incandescence,"n. 白热, 炽热
[化] 炽热; 灼热"
insolate,vt. 使曝晒
iridescence,"n. 彩虹色
[医] 虹色, 晕色"
iridescent,"a. 彩虹色的, 闪光的
[医] 虹色的, 晕色的"
irradiate,"vt. 照耀, 启发, 使灿烂, 放射
vi. 发光, 变灿烂"
lustrous,"a. 有光泽的, 光辉的"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
[计] 大小; 值"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
nocturnal,"a. 夜的, 夜曲的
[医] 夜间的"
opalescence,"n. 乳白光, 蛋白色光
[化] 乳光"
penumbra,"n. 半影, 明暗交界部分, 边缘部分, 周围的气氛
[化] 半影"
sepulchral,"a. 坟墓的, 埋葬的"
sheen,"n. 光辉, 光彩, 光泽
a. 光辉的, 发光的, 有光泽的
vi. 发出光泽"
shimmer,"n. 微光, 闪光
vi. 闪烁
vt. 使闪烁"
showy,"a. 艳丽的, 炫耀的"
spangle,"n. 亮晶晶的小物件
v. (使)闪烁"
stygian,"a. 冥河的, 阴森森的, 幽暗的, 不可侵犯的, 不可违背的"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
translucent,"a. 半透明的, 透明的"
transparent,"a. 透明的, 显然的, 清晰的
[计] 透明"
astigmatism,"n. 散光
[化] 像散"
auroral,"a. 曙光的, 玫瑰红的, 极光的"
conflagration,"n. 大火灾, 大火, 冲突
[化] 暴燃; 快速燃烧"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
[医] 消灭"
pyre,n. (火葬用)柴堆
arson,"n. 纵火, 纵火罪
[法] 纵火, 放火"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
broil,"vi. 烤, 争吵, 激动
vt. 烤
n. 烤, 灼热, 争吵"
char,"n. 家庭杂务, 炭
vi. 打杂, 烧焦"
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
extinction,"n. 消失, 消灭, 废止
[化] 消光; 熄灭"
flint,"n. 打火石, 燧石, 极硬的东西
[化] 燧石"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
gridiron,n. 烤架；格状物；橄榄球场
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
igneous,"a. 火的, 似火的, 火成的"
ignite,"vt. 点燃, 使灼热, 使兴奋"
immolate,"vt. 为供神而宰杀, 牺牲, 杀死"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
nonflammable,"un. 不可燃的；不燃的；不易燃性
[网络] 不易燃的"
parch,"vt. 烤, 烘, 使干透
vi. 烤干, 焦干"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
scald,"n. 烫伤, 烫洗
v. 烫伤, 烫洗"
scalding,"a. 滚烫的, 将近沸腾的, 沸腾的, 灼人的, 尖锐辛辣的
[化] 烫伤"
scathe,"n. 危害, 损伤, 损害
vt. 损伤, 伤害, 痛斥"
sear,"vt. 烤焦；使…枯萎
vi. 干枯；烧焦；凋谢
adj. 枯萎的；烤焦的
n. 烙印；烧焦痕迹
n. (Sear)人名；(英)西尔"
singe,"v. 烧焦, 烤焦"
solder,"n. 焊接剂, 接合物
v. 施以焊接, 焊合, 联结"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
stoke,"v. 司炉, (使)大吃"
tinder,n. 火绒盒
