module,"n. 组件, 模数
[计] 模块"
a,"第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
[计] 博弈; 对策"
OK,"adj. 安然无恙；平安；快活；可以
int. 对；好；行；（用以引起注意或引入话题）好了
n. 允许；准许；同意
v. 正式批准；同意
[网络] 确定；好的(Okay)；好吧"
head,"n. 头；头痛；上端；最前的部分；理解力
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往
a. 头的；主要的；在顶端的
n. (Head)人名；(英)黑德"
not,comb.form [用于元音字母前]=noto-
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
leg,"n. 腿；裤腿；（尤指供食用的）动物的腿；（桌椅等的）腿
v. 〈口〉走；跑；卖力；用腿抵住运河隧洞壁推船通过
[网络] 脚；腿部；支柱"
an,"suf. 表示; “碳水化合物的酐类”：dextran; “不饱和的碳化物”：tolan; 用于专有人、地名等后构成通常可兼作名词用的形容词表示“…时期的(人)”, “…地方的(人)”, “在…居住的(人)”, “在…出生的(人)”：American, Asian, Elizabethan, Victorian; 用于表示体制、学科等的词后及宗教或其他流派创始人的人名后构成可兼作名词的形容词或单词性的形容词或名词表示“精通…的(人)”, “带有…特征的(人)”, “属于…的(人)”, “信奉…的(人)”, “追随…的(人)”"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
[计] 图象; 形象; 字形"
of,"abbr. 〈英(=Odd Fellows)一种秘密共济会的会员
[网络] 工作强度；海运费；海运运费"
family,"n. 家庭, 家人, 族
a. 家庭的"
that,"adj. 那；那个；那样的
pron. 那个；那些；（指已提到过或已知的人或事物）那；引导从句
adv. 那个；那么；（指已提到过或已知的人或事物）那；不很
conj. 引出从句；（表示结果）如此…以致；（表示希望或愿望）多么
[网络] 爸爸的好儿子；一三国际"
that's,"(=that is)说得更精确些, 简而言之"
that is,"na. 就是说；用于纠正之前说过的内容
[网络] 即；那就是；换言之"
man,"n. 成年男子；男人；人类；（特定历史时期的）人
v. 在…岗位上工作；操纵（机器等）；配备（人员）
int. （表示惊奇、气愤等）嘿
[网络] 城域网(Metropolitan Area Network)；男士"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
yes,"int. 答话时表示正确或真实；表示同意所说的话；反驳否定的话
adv. (回答问话、招呼等)是；(怀疑或促人往下讲)真的吗
n. 表示同意的答复；表示同意的人
[网络] 是的；有；不错"
he,"na. 【宗】阁下；对位于较高职位的人
[网络] 苏木素伊红；热交换器；眼高"
he's,abbr. 厚漆单层丝色的（Heavy-Enamel Single-Silk）；家用电子装置的数字键盘（Numeric keyboard for home electronic systems）
he is, [医][=high-energy ion scattering]高能离子散射
who,[网络] 世界卫生组织；世界卫生保健组织；世界健康组织
who's,abbr. 中国城市小康住宅通用体系
who is,[网络] 谁是；是谁；谁是呢
boy,"n. 男孩
[法] 男孩, 少年, 儿子"
it,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
[网络] 信息技术(Information Technology)；它；资讯科技"
it's,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
[网络] 智能交通系统(Intelligent Transportation System)；智能运输系统"
it is," [医]〔复-itides〕〔后缀〕炎, 炎症"
me,"n. 肌痛性脑脊髓炎（全写为 myalgic encephalomyelitis，一种慢性疲劳症）
[网络] 我；么；代谢能(metabolizable energy)"
brother,"brother
['brʌðə]
n.
兄弟(常指人，有时也指动物)
[亦称half brother](同父异母或同母异父的)兄弟
继父与其前妻(或继母与其前夫)所生之子
奶兄弟
(有亲属关系的广义上的)兄弟
(兄弟般的)密友，挚友，伙伴；同胞，国人
[复数常作brethren]同行业(或教会、团体)的人，同业，同人，同事；教友，会友
【基督教《圣经》】男亲戚
【基督教】(某些教派的)牧师兄弟[后接专有人名或作称呼语]
同种族的人
【教会】
(修道院里做杂役的)僧侣，托钵僧；(尚未晋升神父的)修士
[B-](不担任圣职的)教会在俗人员，(教会中非神职)教士
[总称]人；人类[尤用于值得同情、敬意之时]
[美国黑人英语]黑人兄弟，黑人同胞(泛指黑人或与黑人利益密切相关的人)；(美国)黑人男子
[俚语、称呼语]老兄，朋友，家伙[尤多用于不知对方姓名时]
vt.
兄弟般地对待；以兄弟相称，称…为兄弟，称兄道弟；把…接纳加入兄弟会
adj.
同行业的
interj.
[俚语][用以表示失望、厌恶、惊讶等强烈感情]我的老兄!天哪!
短语:
a brother of the angle
垂钓者，钓友[见 angle¹]
brother chip
[英格兰北部用语]相貌、性格等极其相似
同行，同业者，同行业的工人
brother doctor
加入医师公会的医生
brother it
做兄弟应做之事；尽兄弟之责
brother of the brush
画友；画家；油漆匠
brother of the quill
著述家
brother of the spigot
小酒店主人，酒保[戏谑语]
brother in arms
战友，袍泽(指正在或曾在部队服役的军人)
uterine brother
(同母异父的)隔山兄弟
变形：
n.
brothers或 brethren"
girl,"n. 女孩, 少女, 女佣"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
lady,"n. 淑女, 夫人, 女士, 贵妇"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
woman,"[名词后缀]表示“…国女人”,“…地女人”：Englishwoman, countrywoman; 表示“…职业的女人”,“…身份的女人”：policewoman, laywoman; [形容词后缀]表示“…个妇女组成的”：a four-woman band"
she,"pron. 她；它；船或车等
n. 〈口〉女性；雌性动物
[网络] 佘；就是她；伊"
she's,abbr. she has 她（已经）; she is 她是
she is,无
no,"adv. 没有；无；并不；禁止
int. 没有；不是；不要；（用于否定的回答或陈述）不
adj. 禁止；(一个也)没有；一点儿也没有；什么也[谁也]没有
n. 否定的回答；作否定回答的人；（统称）投反对票者
abbr. 【化】同“nobelium”(=number)
[网络] 一氧化氮(Nitric Oxide)；不(nope)；没有(None)"
isn't,abbr. 原位缺口平移（In Situ Nick Translation）
is not,无
so,"conj. 所以；以便；（引出结果）因此；引出下文
adv. 那么；如此；很；就
int. 好；别动；别吵；停住
pron. 左右；imagine
n. 【乐】同“sol”；【女名】女子名
[网络] 这么；这样；苏"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
tall,[=thymus derived acute lymphocytic leukemia]胸腺衍生急性淋巴细胞性白血病
old,"n. 老年人；…岁的(人)；旧事物
adj. 老的；陈年的；…久的；年龄较长的
[网络] 旧的；年纪大了点；奥兹莫比尔"
baby,"n. 婴儿，婴孩；孩子气的人
vt. 纵容，娇纵；把……当婴儿般对待
adj. 婴儿的；幼小的
n. (Baby)人名；(法、葡)巴比；(英)巴比，芭比(女名)；(俄)巴贝"
cute,"a. 可爱的, 聪明的, 伶俐的
[医] 品他病"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
uncle,"n. 叔父, 伯父, 姨丈"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
[计] 计算机辅助教学, 计算机辅助翻译, 计算机辅助排字, 计算机辅助测试"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
dog,"v. 跟踪；笼罩在…心头；弄得…狼狈不堪；被…困扰
n. 【动】犬；【动】雄性的犬科动物；常用于形容词后；〈侮辱〉卑鄙的人
[网络] 狗；小狗；狗狗"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
ball,"n. 球；球状物；踢出（或击出、投出）的一球；（投手投出的）坏球
v. 做成球状；使成团块；和（女性）交媾
[网络] 球类笔；精度球规；火球"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
ship,n. [英国俚语](在同一工头下工作的)排字组 ( = companionship)
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
car,"abbr. carat,carats；carpentry"
bus,"n. 公共汽车；巴士；（计算机系统的）总线
v. 用公共汽车运送
[网络] 汇流排；公交车；公车"
bike,"bike1
[baik]
[口语]
n.
自行车，脚踏车，单车
两轮机动车(泛指摩托车、轻便车等)，摩托车，机器脚踏车
机动脚踏两用车
(挽车赛马中的)单座两轮(轻便)马车(= sulky)
[美国俚语]摩托警
[澳大利亚俚语]淫妇，妓女
vt., vi.
骑自行车
骑摩托车(或轻骑等)：
I bike to work.
我骑摩托车去上班。
短语:
get off one's bike
[澳大利亚、新西兰口语]发火，生气，恼火；感情失去控制，激动；慌乱，手忙脚乱[常用于否定句]
get on one's bike
[英国俚语]
离开
着手干
On your bike!
[英国俚语]给我滚!滚开!
变形：
vt., vi.
biked
. biking
bike2
[baik]
[苏格兰和英格兰北部英语]
n.
黄蜂巢；野蜂巢
一窝黄蜂；一窝野蜂
人群；群[亦作 byke]
vi.
蜂拥，群集，汇拢[亦作 byke]"
boat,"n. 船
vi. 乘船
vt. 以船运"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
do,abbr. delivery order 提货单; digital output 数字输出; disbursing office 付款处; deferred ordinary (shares) 延期付息普通股票
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
[计] 标尺"
may,"n. 五月
aux. 愿能, 可以, 愿意"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
here,"n. 这里；今生
adv. 在这里；这时
int. 有！（点名时的回答）；喂！（用以引起注意等）"
Here you are.,[口语]；我们(或你，你们)到了!；这就是我们(或你，你们)所要的东西。
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
bag,Bachelor of Agriculture 农学士
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
[计] 工作簿"
eraser,n. 擦子
PRC,"abbr. People's Republic of China
n. 中华人民共和国"
UK,"n. 英国；联合王国
abbr. United Kingdom 联合王国
[网络] 英国(United Kingdom)；尿激酶(urokinase)；英国码"
USA,"abbr. 美国；美利坚合众国（the United States of America）
n. (Usa)人名；(日)宇佐(名)；(所)尤萨"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
[计] 发送文件"
on,suf. 表示“非酮(或氧基)化合物”：parathion; 表示：[生物学]“…子(指基本遗传成分)”; [物理学]“…子(指基本粒子或量子)”; [化学]表示“惰性气体”：neon
desk,"desk
[desk]
n.
书桌，办公桌，写字台，绘图桌
【宗教】
(教堂中的)读经台
[美国英语]讲道台；讲坛，布道坛
文书(或办事员等)的职位(或职业、工作)
(旅馆服务员)工作台，(旅馆、办公楼等中的)服务台(用作旅客登记、邮件收发等)；(值勤人员的)工作台；问讯台，出纳台
服务台等的工作人员
[美国英语](报馆)编辑部
【音乐】
(管弦乐队的)乐谱架；(两位管弦乐师合用的)乐谱架
(合用乐谱架的)两位管弦乐师
(管弦乐队的)乐师席，演奏者席
(政府部门、报社等内的)部，司，室，组
【计算机】
桌面
控制台，操纵台；试验台
面板，控制板
adj.
书桌的，办公桌的，写字台的
台式的，书桌(或办公桌、写字台)上用的
坐办公室的，在办公桌上做的，伏案做的，案头的"
in,"prep. 参与；参加；穿着；进入
adv. 进入；在内；上涨；在里面
n. 执政党；〈美口〉入口；门路；提携
adj. 流行的；时髦的
abbr. (=indium)【化】(铟)
[网络] 在……里面；输入端(inputs)；用"
the,"art. 这个；那个；河流；不言而喻的某事物
defa. 此；指已提到或易领会到的人或事物
[网络] 定冠词；这些；表示一类人"
box,"n. 箱；盒；方框；匣
v. （拳击运动中）击打（某人）；把（某物）装箱（或盒、匣）
[网络] 盒子；箱子；长方体"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
chair,"n. 椅子；（主持会议或委员会的）主席席位；委员长职位
v. 担任（会议、讨论等的）主席；主持（会议、讨论等）
[网络] 餐椅；讲座；主持人"
