accustom,vt. 使习惯于
touching,"a. 动人的, 令人同情的"
unaware,"a. 未认识到的, 不知道的
[法] 不知道的, 不察觉的, 无意的"
unbelievable,a. 难以置信的
uncompromising,"a. 不让步的, 不妥协的, 坚定的
[法] 坚定的, 不受协的, 不能通融的"
undreamed-of,"a. 梦想不到的, 意外的, 想象不到的"
unethical,a. 不道德的
unheard-of,"a. 从未听说的, 无前例的, 前所未闻的, 空前的"
unlimited,"a. 无限的, 不受限制的, 无条件的
[经] 无限的, 不定的"
unnecessary,a. 不必要的
unpredictable,"adj. 不可预知的；不定的；出乎意料的
n. 不可预言的事"
unquestionable,"a. 无疑问的, 确实的, 无可挑剔的
[法] 无可疑的, 确定的, 不成问题的"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
[计] 视图"
viewpoint,"观点；视点, 观察点"
willpower,"n. 毅力, 意志力"
worried,"a. 担心的, 闷闷不乐的"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
abundant,"a. 丰富的, 充分的, 大量的"
abundantly,"adv. 大量地, 丰富地"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
alternatively,adv. 非此即彼
ample,"a. 大量的, 充足的, 丰富的"
appalling,"a. 骇人的, 令人震惊的"
apparent,"a. 清晰可见的, 显然的, 表面上的
[电] 外在的"
apparently,"adv. 表面上, 清楚地, 显然地"
applicable,"a. 合适的, 可应用的
[法] 适用的, 适应的"
appropriate,"a. 适当的
[经] 适当的, 拨出, 占用"
artificial,"a. 人造的, 假的, 非原地产的
[医] 人工的, 人造的, 伟牟"
authentic,"a. 可靠的, 可信的, 真正的
[法] 被认证的, 确认的, 可信的"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
[计] 倒推"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
[计] 空白"
blunt,"a. 钝的, 坦率的, 麻痹的"
bluntly,"adv. 坦率地, 率直地"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
characterise,"vt. 表示...的特性, 成为/是...的特性, 刻划/描述...的性格
vi. 在文艺作品中塑造人物, 描绘性格"
characterize,"vt. 描绘...的特性, 刻划...的性格"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
[计] 阶; 指数"
coarse,"a. 粗糙的, 下等的, 粗俗的
[计] 粗略的"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
comparatively,"adv. 比较地, 相对地"
comparison,"n. 比较, 对照, 比喻
[经] 比较, 对比"
concise,"a. 简洁的, 简明的"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
conspicuous,"a. 显著的, 显眼的, 出众的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
deficient,"a. 不足的, 不充分的, 有缺陷的"
delicate,"a. 细致优雅的, 微妙的, 美味的
[医] 柔弱的"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
[计] 数据解释模块"
distinct,"a. 清楚的, 显著的, 不同的"
distinctive,"a. 有特色的, 出众的"
distinctly,"adv. 显然地, 明显地, 清楚地"
drawback,"收回, 退却, 缩回
[经] 退钱, 退税"
dreary,a. 沉闷的
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elegant,"a. 优雅的, 端庄的, 高雅的"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
evident,"a. 显然的, 明显的"
exquisite,"a. 精致的, 细腻的, 敏锐的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
extraordinary,"a. 非常的, 特别的, 非凡的
[经] 非常的, 特别的, 临时的"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
[医] 致命的, 致死的"
feasible,"a. 能实行的, 可行的, 适宜的
[法] 可行的, 可执行的, 可完成的"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
[化] 划痕; 裂缝; 裂纹"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
flexibility,"n. 弹性, 适应性
[计] 灵活性; 适应性"
flexibly,"adv. 易曲地, 柔软地"
foremost,"a. 最初的, 最重要的
adv. 在最前"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
informal,"a. 非正式的, 不拘礼的, 通俗的
[经] 非正式的, 日常使用的"
formally,"adv. 正式地, 形式上"
informally,adv. 非正式地；不拘礼节地
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
forthcoming,[网络] 北京大学出版社；社会科学类
gorgeous,"a. 华丽的, 灿烂的"
handful,"n. 少数, 一把, 棘手事"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
[计] 堆"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
immense,"a. 极广大的, 无边的, 非常好的"
immensity,"n. 广大, 无边, 巨物"
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
incredible,a. 难以置信的
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
[计] 不等式"
infectious,"a. 有传染性的, 易传染的
[医] 传染性的"
infect,"vt. 传染, 感染
[医] 传染, 感染"
infection,"n. 传染, 影响, 传染病
[医] 传染, 感染"
long,"n. 朗；(服装的)长尺寸；长裤；【语】长母音
adj. （长度或距离）长的；（询问或谈论长度或距离）长；长时间的；长久的
adv. 长期地；长久地；（在某一时间或事件之前或以后）很久地
v. （尤指对看似不会很快发生的事）渴望
[网络] 长整型；长整数；多头"
manifold,"vt. 复写，复印；增多；使……多样化
adj. 多方面的，有许多部分的；各式各样的
n. 多种；复印本
n. (Manifold)人名；(英)马尼福尔德"
monotonous,"a. 单调的, 无变化的"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
[计] 负数, 负值"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
noticeably,"adv. 显而易见, 值得注意, 重要, 显著"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
impartial,"a. 公平的, 不偏不倚的
[法] 公正无私的, 不偏袒的, 公平的"
partially,"adv. 部分地, 一部分地, 不公平地"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
[医] 感情的"
sympathetically,"adv. 怜悯地, 同情地"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
peculiarity,"n. 特质, 特性, 怪癖"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
[法] 花言巧语的, 似乎有理的"
positive,"a. 肯定的, 积极的, 有把握的
[医] 正的, 阳性的"
positively,"adv. 明确地, 肯定地, 无疑地, (非正式)确实地, 真正地"
preferable,"a. 更可取的, 更好的, 更合意的"
preferably,"adv. 更可取地, 更好地, 更合意地"
previous,"a. 早先的, 前面的, 过急的
[法] 以前的, 生前的, 前述的"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
[计] 先前地"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
react,"vi. 起反应, 起作用, 反攻
[医] 应答, 发生反应"
reaction,"n. 反应, 反作用, 反动
[医] 反应"
reasonable,"a. 合理的, 明理的, 适当的
[法] 合理的, 公道的, 正当的"
reasonably,"adv. 适度地, 相当地"
unreasonable,"a. 不合理的, 过度的, 不切实际的
[法] 不讲道理的, 非理智的, 不合理的"
recognizable,"a. 可认识的, 可承认的, 可识别的
[法] 可被认出的, 可辩认的, 可被承认的"
reluctant,"a. 不情愿的, 勉强的
[法] 不愿的, 勉强的, 难以处理的"
reluctantly,"adv. 不情愿地, 勉强地"
respective,"a. 分别的, 各自的"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
irrespective,"a. 不顾的, 无关的, 没关系的"
satisfactory,"a. 满意的, 赎罪的
[法] 令人满意的, 令当事人满意的, 充分的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
severely,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
significantly,adv. 值得注目地；意味深长地
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
singular,"n. 单数
a. 异常的, 单一的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
[计] 声音"
specific,"a. 特殊的, 特定的；明确的；详细的；[药] 具有特效的
n. 特性；细节；特效药"
specifically,"adv. 特定地, 明确地, 按特性"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
[医] 锐敏的; 精细的"
subtly,"adv. 敏锐地, 巧妙地, 精细地"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
tedious,"a. 沉闷的, 冗长乏味的"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
transparent,"a. 透明的, 显然的, 清晰的
[计] 透明"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
triviality,"n. 琐事, 平凡, 浅薄"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abnormality,"n. 反常, 畸形, 变态
[化] 反常; 非正态性"
acceptable,"a. 可接受的, 合意的, 可忍受的"
advantageous,adj. 有利的；有益的
advisory,"a. 顾问的, 咨询的, 劝告的
[法] 劝告的, 忠告的, 咨询的"
ambiguous,"a. 不明确的, 模棱两可的
[法] 意思含糊的, 模棱两可的, 暧昧的"
unambiguous,"a. 不含糊的, 明确的
[法] 清晰的, 明白的, 不模糊的"
badge,comb.form 表示“象征名牌的”，“名牌标志的”(只因该商品是名牌而使用它)：badge-product
binary,"n. 二；双体；【天】双[联]星【数学】二进制
adj. 二进制的（用 0 和 1 记数）；仅基于两个数字的；二元的
[网络] 二进位；二进位的；二进制文件"
bit,"n. ☉一点，一些；小片，小块；小段，片段；部分；少许，有点，一点儿，微量，少量[常与a连用，起副词作用]
adj. 很小的，微不足道的
adv. [口语]相当，有点儿，或多或少，多少[a bit to的省略]"
blacken,"vt. 使变黑, 诽谤
vi. 变黑"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
[计] 内径; 孔径"
bored,a. 无聊的；烦人的；无趣的
boring,"adj. 无聊的；令人厌烦的
n. 钻孔
v. 钻孔；使厌烦；挖空（bore的ing形式）
n. (Boring)人名；(英、瑞典)博林"
breathtaking,[网络] 呼吸；紧张；唿吸
bunch,"n. 串, 束
[医] 骨肿块(马)"
changeable,a. 可改变的
chunk,"n. 大块, 矮胖的人(或物)
[经] 定样"
circular,"a. 圆形的, 循环的, 间接的
[医] 环状的, 循环的"
clang,"n. 当当声, 铿锵声
vi. 发出当当声, 发铿锵声
vt. 使发铿锵声"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
colourless,"a. 无色的, 无血色的, 无趣味的, 无特色的, 不生动的, 单调的, 不偏不倚的"
competitive,"a. 竞争的
[经] 竞争的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
complicated,"a. 复杂的
[医] 并发的"
conceivable,"a. 想得到的, 可想象的, 可理解的"
conceptual,"a. 概念的
[医] 概念的"
conclusive,"a. 决定性的, 确定性的, 最后的
[法] 决定性的, 不容置疑的, 确实的"
conditional,"a. 有条件的, 有前提的
[电] 有条件的"
conformity,"n. 遵照, 适合, 一致, 相似
[计] 符合度"
consistency,"n. 坚硬性, 黏稠度, 一致性
[化] 稠度; 一致性"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
continual,"a. 持续不断的, 继续的
[建] 连续的"
continually,"adv. 不断地, 频繁地"
continuity,"n. 连续性
[化] 连续性"
continuous,"a. 连续的, 继续的, 连续不断的
[计] 连续的"
convex,"a. 中凸的, 凸圆的, 凸面的
n. 凸状, 凸面体, 凸面结构"
crimson,"n. 深红色
a. 深红色的
v. (使)变为深红色, 脸红"
damned,"a. 可恶的, 该死的
adv. 非常"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
deathly,"a. 死一般的
adv. 像死一样地"
decisive,"a. 决定性的, 坚定的, 果断的"
decorative,a. 装饰性的
delightful,"a. 令人愉快的, 可爱的"
delusion,"n. 迷惑, 欺瞒, 错觉
[医] 妄想"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
[化] 密度"
densely,"adv. 浓密地, 浓厚地"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
descriptive,"a. 描述的, 叙述的"
desirable,"a. 令人想望的, 可取的"
differential,"a. 差别的, 特异的, 微分的
n. 差别, 两路线运费差额, 工资差额"
disadvantageous,"a. 不利的, 蔑视的, 贬抑的"
disposable,"a. 可任意处理的
[法] 可任意处理或处置的, 可自由使用的"
dissimilar,"a. 不同的, 相异的"
distinctive,"a. 有特色的, 出众的"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
[化] 多样性"
diversity,"n. 差异, 多样性
[化] 多样性"
divisible,"a. 可分的, 可分割的, 除得尽的
[法] 可分的, 可分割的"
done,"adj. 完成了；做好了的；煮熟的；合乎礼仪的
v. 做（do 的过去分词）
n. (Done)人名；(西、罗)多内；(英)多恩"
doubtful,"a. 可疑的, 疑心的, 不明确的
[法] 怀疑的, 有疑问的, 未确的"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
dreadful,a. 可怕的
dual,"a. 双重的, 双的
n. 双数"
ellipse,"n. 椭圆, 椭圆形
[计] 椭圆"
elliptical,"a. 椭圆的
[医] 椭圆形的"
endless,"a. 不停的, 无穷尽的, 无尽的
[机] 无端的, 环状的"
endurable,"a. 可忍受的, 能忍耐的"
endurance,"n. 忍耐, 忍耐力, 耐性
[机] 持九性"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
entirety,"n. 全部, 整体
[法] 共有制, 整体, 全部"
eventual,"a. 最后的, 终于的"
eventuality,"n. 可能发生的事, 可能性"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
existent,"a. 存在的, 生存的, 现存的
[医] 生存者"
explanatory,"a. 说明的, 解释的, 辩明的
[法] 解释的, 说明的"
factor,"n. 因子；因素；系数；要素
v. 【数】把…化为因子[因数]；为…充当代理商；代理经营；代管(产业)
[网络] 因式"
factual,"a. 事实的, 实际的
[法] 事实的, 与事实有关的, 实际的"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
[经] 缺点多的"
faultless,"a. 完美的, 无缺点的
[化] 无故障的"
fearful,"a. 可怕的, 恐怕的, 担心的"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
fingernail,[医] 指甲
fireproof,"a. 耐火的, 防火的
vi. 变成有耐火性"
fireside,"n. 炉边, 家庭, 家庭生活
a. 在火炉边的, 非正式的"
footbridge,陆桥，人行桥；步行天桥
footpath,"n. 踏板
[网络] 人行道；人行通道；路在脚下"
fraction,"n. 小部分, 破片, 分数
[医] 部分, 成分, 分散"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
fragrance,"n. 芬芳, 香味"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
frightening,a. 令人恐惧的；引起突然惊恐的
frightful,"a. 可怕的, 惊人的, 丑的, 非常的"
gigantic,"a. 巨人般的, 巨大的"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
glossy,"a. 平滑的, 有光泽的"
habitable,"a. 适于居住的, 可居住的"
hardness,"n. 坚硬, 困难, 严厉, 勇气
[化] 硬度"
helpful,"a. 有帮助的, 有益的, 有用的"
helpless,"a. 无助的, 无能为力的, 无依无靠的"
hidden,"a. 隐藏的
hide的过去分词
[计] 隐藏的"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
hiding,"n. 隐匿, 隐藏之事, 隐匿之所, 痛打
[法] 躲藏, 躲藏处"
high-sounding,"a. 听起来了不起的, 声音响的"
identical,"a. 同一的, 恒等的, 完全相同的
[医] 同一的, 同等的"
illogical,"a. 不合逻辑的, 无缘由的
[法] 不合逻辑的, 无条理的, 说不通的"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
[法] 不适当的, 不合适的, 不正确的"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
inappropriate,"a. 不适当的, 不相称的"
incomparable,"a. 无比的, 不能比较的"
indecent,"a. 下流的, 不礼貌的
[医] 猥亵的"
indefinable,"a. 不能下定义的, 不确定的"
indefinite,"a. 模糊的, 不确定的, 无限的
[法] 不确定的, 无限制的"
inimitable,"a. 无法仿效的, 独特的, 无比的"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
invisible,"a. 看不见的, 无形的
[经] 无形的, 表面上看不见的, 未列在公开帐目的"
inviting,"a. 引人动心的, 有魅力的
[法] 诱惑人的, 动人心的"
involved,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
[计] 包含, 涉及"
irrational,"n. 无理数
a. 无理性的, 不合理的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
[计] 页面布局, 版面"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
limitedly,adv. 有限地
unlimited,"a. 无限的, 不受限制的, 无条件的
[经] 无限的, 不定的"
logical,"a. 合乎逻辑的, 合理的
[法] 逻辑的, 符合逻辑的"
logically,"adv. 逻辑, 合乎逻辑, 符合逻辑, 逻辑上, 有逻辑, 有逻辑头脑, 合理, 明智"
illogical,"a. 不合逻辑的, 无缘由的
[法] 不合逻辑的, 无条理的, 说不通的"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
[计] 循环"
magical,"a. 魔术的, 有魔力的, 不可思议的"
marked,"a. 有记号的, 显著的, 醒目的
[化] 有记号的; 显著的"
memorable,"a. 值得纪念的, 难忘的"
metallic,"a. 金属的, 含金属的, 产生金属的
[经] 金属的"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
miniaturization,"n. 微型化
[化] 微型化"
miracle,"n. 奇迹, 奇事"
miraculous,"a. 奇迹的, 不可思议的"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
mysterious,"a. 神秘的, 难解的, 不可思议的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notably,"adv. 显著地, 著名地, 尤其, 特别"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
[法] 忘却的, 健忘的, 不在意的"
oblong,"n. 长方形, 长椭圆形
a. 长方形的, 长椭圆形的"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形
n. (Oval)人名；(法)奥瓦尔"
peculiarity,"n. 特质, 特性, 怪癖"
perfection,"n. 完美, 完成, 极端
[经] 完整性"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
[经] 小额的, 微小的, 小规模的"
plentiful,"a. 许多的, 丰富的, 丰饶的"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
provocation,"n. 激怒, 刺激, 挑拨
[医] 激发[作用]"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
reappear,"重现, 再发生"
reddish,"a. 微红的, 略带红色的"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
reliability,"n. 信度, 可靠性
[计] 可靠性"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
repetitive,"a. 重复的, 反复性的"
ridiculous,"a. 荒谬的, 可笑的"
rugged,"a. 高低不平的, 崎岖的, 粗糙的"
sanguinary,"a. 流血的, 血腥的, 嗜血的"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
shaky,"a. 震动的, 摇晃的, 动摇的"
shockproof,"a. 耐震的, 防震的"
shortcoming,"n. 缺点, 短处"
smelly,"a. 发臭的, 有臭味的"
smoky,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的"
soapy,"a. 涂着肥皂的, 谄媚的, 圆滑的"
softly,"adv. 柔和地, 静静地, 温柔地"
solemn,"a. 严肃的, 郑重的, 庄严的"
spacious,"a. 广大的, 宽广的"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
[经] 萧条的"
stagnation,"n. 淤塞, 停滞
[医] 停滞, 滞留, 郁积"
stainless,"a. 无瑕疵的, 不锈的
[机] 不绣的, 污染的"
starry,"a. 星光照耀的, 多星的, 星形的, 明亮的"
sticky,"a. 粘的, 有粘性的, 顽固的"
stiffen,"vt. 使变硬, 使僵硬, 使顽强, 使严厉
vi. 变粘, 变硬, 变强烈"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
[法] 罢工的, 罢市的, 罢课的"
strikingly,"adv. 显著地, 惊人地, 引人注目地"
substandard,"a. 标准以下的, 不合规格的
[化] 低于定额的"
systematic,"a. 有系统的, 分类上的, 体系的
[医] 系统的, 系的, 分类的"
terrific,"a. 非常好的, 极端的, 可怕的"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
[化] 纹理"
tinkle,"n. 叮当声
vt. 使发丁当的声, 叮当地发出
vi. 叮当作响"
tiresome,"a. 累人的, 烦人的"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
[计] 双音频"
torrential,"a. 奔流的, 急流的, 猛烈的"
tragic,"a. 悲惨的, 悲剧的"
tranquil,a. 安静的
tranquility,n. 宁静
tremendous,"a. 巨大的, 非常的, 可怕的"
troublesome,"a. 麻烦的, 令人讨厌的"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
[法] 真实的, 说实话的, 诚实的"
unacceptable,"a. 无法接受的, 不受欢迎的
[法] 不能接受的, 不受欢迎的, 难以承认的"
unaffected,"a. 不矫揉造作的, 自然的, 未受影响的, 未被感动的
[经] 不受影响的"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
underground,"adv. 在地下；秘密地
adj. 地下的；秘密的；先锋派的
n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体"
understandable,a. 可以理解的
undoubted,"a. 无疑的, 确实的
[法] 无疑的, 确实的"
unforgettable,"a. 忘不了的, 令人难忘的"
untimely,"a. 不到时候的, 不合时令的, 不适时的"
urgent,"a. 紧急的, 急迫的, 催逼的
[经] 紧急的, 急迫的"
vague,"a. 含糊的, 不清楚的, 茫然的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
watertight,"a. 不透水的, 不漏水的, 无懈可击的
[化] 不透水的; 不漏水的"
widespread,"adj. 广布的；蔓延的；普遍的
[网络] 普及的；广泛流传的"
wooden,"a. 木制的, 呆笨的, 木然的"
woolen,"n. 毛制品
a. 羊毛的, 羊毛制的, 毛织的"
worthwhile,"na. 有…的价值；有利益的
[网络] 值得；值得的；值得去做"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
[医] 角的, 角形的"
arrogant,"a. 自大的, 傲慢的"
aspect,"n. 外观, 方面, 面貌, 方向
[医] 方面, 局面; 外观"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
conscientious,"a. 有责任心的, 负责的, 本着良心的
[法] 凭良心做的, 有道德感的"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
inconsiderate,"a. 不顾别人的, 轻率的"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
courteous,"a. 彬彬有礼, 谦恭的"
courtesy,"n. 礼貌, 谦恭, 好意
[法] 优待, 礼貌, 恩惠"
courteous,"a. 彬彬有礼, 谦恭的"
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
credible,"a. 可信的, 可靠的
[法] 可信的, 可靠的"
credulous,"a. 轻信的, 易受骗的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
[法] 狡猾的的, 狡诈的, 熟练的"
despair,"n. 绝望, 失望
vi. 绝望"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
drowsy,"a. 昏昏欲睡的
[医] 倦睡的, 瞌睡的"
dumb,abbr. Dumbarton；Dumbartonshire
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extravagantly,adv. 挥霍无度地
